"",BBK01.OECB21V,BBK01.OECB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:28,
2002-01,1.524,
2002-04,1.561,
2002-07,1.592,
2002-10,1.616,
2003-01,1.635,
2003-04,1.676,
2003-07,1.825,
2003-10,1.832,
2004-01,1.735,
2004-04,1.751,
2004-07,1.779,
2004-10,1.820,
2005-01,2.053,
2005-04,1.996,
2005-07,1.935,
2005-10,1.869,
2006-01,1.801,
2006-04,1.481,
2006-07,1.452,
2006-10,1.426,
2007-01,1.390,
2007-04,1.320,
2007-07,1.265,
2007-10,1.182,
2008-01,1.141,
2008-04,1.122,
2008-07,0.987,
2008-10,0.980,
2009-01,0.944,
2009-04,0.934,
2009-07,0.918,
2009-10,0.751,
2010-01,0.761,
2010-04,0.758,
2010-07,1.070,
2010-10,1.071,
2011-01,1.050,
2011-04,0.975,
2011-07,0.874,
2011-10,0.868,
2012-01,0.824,
2012-04,0.754,
2012-07,0.790,
2012-10,0.704,
2013-01,0.600,
2013-04,0.554,
2013-07,0.538,
2013-10,0.537,
2014-01,0.642,
2014-04,0.597,
2014-07,0.518,
