"",BBK01.WXI048,BBK01.WXI048_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:00,
2009-09,894,
2009-10,1106,
2009-11,1117,
2009-12,1077,
2010-01,1117,
2010-02,1142,
2010-03,1136,
2010-04,1125,
2010-05,1126,
2010-06,1185,
2010-07,1114,
2010-08,1131,
2010-09,1139,
2010-10,916,
2010-11,831,
2010-12,821,
2011-01,906,
2011-02,909,
2011-03,909,
2011-04,919,
2011-05,830,
2011-06,890,
2011-07,835,
2011-08,1076,
2011-09,1114,
2011-10,1091,
2011-11,1039,
2011-12,822,
2012-01,996,
2012-02,1003,
2012-03,979,
2012-04,910,
2012-05,989,
2012-06,876,
2012-07,957,
2012-08,840,
2012-09,727,
2012-10,715,
2012-11,717,
2012-12,651,
2013-01,787,
2013-02,692,
2013-03,632,
2013-04,704,
2013-05,684,
2013-06,752,
2013-07,761,
2013-08,695,
2013-09,661,
2013-10,752,
2013-11,815,
2013-12,557,
2014-01,567,
2014-02,677,
2014-03,577,
2014-04,590,
2014-05,603,
2014-06,589,
2014-07,586,
2014-08,560,
2014-09,475,
2014-10,570,
2014-11,593,
