"",BBK01.OELI06R,BBK01.OELI06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:01,
2002-01,0.312,
2002-04,0.313,
2002-07,0.322,
2002-10,0.323,
2003-01,0.314,
2003-04,0.305,
2003-07,0.290,
2003-10,0.287,
2004-01,0.293,
2004-04,0.293,
2004-07,0.291,
2004-10,0.284,
2005-01,0.266,
2005-04,0.256,
2005-07,0.246,
2005-10,0.236,
2006-01,0.227,
2006-04,0.233,
2006-07,0.236,
2006-10,0.242,
2007-01,0.260,
2007-04,0.262,
2007-07,0.264,
2007-10,0.269,
2008-01,0.248,
2008-04,0.249,
2008-07,0.255,
2008-10,0.258,
2009-01,0.227,
2009-04,0.205,
2009-07,0.180,
2009-10,0.154,
2010-01,0.148,
2010-04,0.142,
2010-07,0.136,
2010-10,0.138,
2011-01,0.140,
2011-04,0.147,
2011-07,0.141,
2011-10,0.144,
2012-01,0.145,
2012-04,0.138,
2012-07,0.132,
2012-10,0.125,
2013-01,0.118,
2013-04,0.105,
2013-07,0.100,
2013-10,0.098,
2014-01,0.095,
2014-04,0.095,
2014-07,0.093,
