"",BBFN1.M.DE.N.1.A.SI.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SI.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:56,
1994-07,0.227,
1994-08,0.263,
1994-09,0.273,
1994-10,0.264,
1994-11,0.263,
1994-12,0.265,
1995-01,0.257,
1995-02,0.272,
1995-03,0.283,
1995-04,0.289,
1995-05,0.296,
1995-06,0.280,
1995-07,0.265,
1995-08,0.266,
1995-09,0.278,
1995-10,0.268,
1995-11,0.267,
1995-12,0.252,
1996-01,0.240,
1996-02,0.246,
1996-03,0.254,
1996-04,0.261,
1996-05,0.277,
1996-06,0.290,
1996-07,0.283,
1996-08,0.286,
1996-09,0.293,
1996-10,0.275,
1996-11,0.250,
1996-12,0.234,
1997-01,0.225,
1997-02,0.227,
1997-03,0.246,
1997-04,0.263,
1997-05,0.277,
1997-06,0.290,
1997-07,0.291,
1997-08,0.286,
1997-09,0.284,
1997-10,0.297,
1997-11,0.297,
1997-12,0.281,
1998-01,0.278,
1998-02,0.299,
1998-03,0.314,
1998-04,0.321,
1998-05,0.329,
1998-06,0.326,
1998-07,0.304,
1998-08,0.309,
1998-09,0.299,
1998-10,0.297,
1998-11,0.301,
1998-12,0.280,
1999-01,0.281,
1999-02,0.287,
1999-03,0.309,
1999-04,0.323,
1999-05,0.326,
1999-06,0.331,
1999-07,0.303,
1999-08,0.287,
1999-09,0.319,
1999-10,0.334,
1999-11,0.326,
1999-12,0.305,
2000-01,0.317,
2000-02,0.334,
2000-03,0.336,
2000-04,0.346,
2000-05,0.348,
2000-06,0.339,
2000-07,0.349,
2000-08,0.363,
2000-09,0.360,
2000-10,0.372,
2000-11,0.366,
2000-12,0.330,
2001-01,0.338,
2001-02,0.346,
2001-03,0.355,
2001-04,0.334,
2001-05,0.335,
2001-06,0.340,
2001-07,0.339,
2001-08,0.323,
2001-09,0.350,
2001-10,0.349,
2001-11,0.346,
2001-12,0.338,
2002-01,0.340,
2002-02,0.357,
2002-03,0.355,
2002-04,0.353,
2002-05,0.342,
2002-06,0.332,
2002-07,0.326,
2002-08,0.320,
2002-09,0.318,
2002-10,0.321,
2002-11,0.328,
2002-12,0.314,
2003-01,0.306,
2003-02,0.297,
2003-03,0.314,
2003-04,0.306,
2003-05,0.303,
2003-06,0.301,
2003-07,0.298,
2003-08,0.297,
2003-09,0.302,
2003-10,0.307,
2003-11,0.311,
2003-12,0.288,
2004-01,0.282,
2004-02,0.289,
2004-03,0.313,
2004-04,0.302,
2004-05,0.311,
2004-06,0.315,
2004-07,0.317,
2004-08,0.309,
2004-09,0.317,
2004-10,0.319,
2004-11,0.322,
2004-12,0.302,
2005-01,0.286,
2005-02,0.298,
2005-03,0.311,
2005-04,0.324,
2005-05,0.309,
2005-06,0.318,
2005-07,0.307,
2005-08,0.307,
2005-09,0.305,
2005-10,0.315,
2005-11,0.347,
2005-12,0.316,
2006-01,0.309,
2006-02,0.315,
2006-03,0.329,
2006-04,0.321,
2006-05,0.334,
2006-06,0.351,
2006-07,0.345,
2006-08,0.342,
2006-09,0.371,
2006-10,0.382,
2006-11,0.379,
2006-12,0.353,
2007-01,0.356,
2007-02,0.377,
2007-03,0.388,
2007-04,0.405,
2007-05,0.427,
2007-06,0.434,
2007-07,0.428,
2007-08,0.424,
2007-09,0.447,
2007-10,0.436,
2007-11,0.447,
2007-12,0.431,
2008-01,0.422,
2008-02,0.431,
2008-03,0.454,
2008-04,0.477,
2008-05,0.487,
2008-06,0.492,
2008-07,0.481,
2008-08,0.485,
2008-09,0.494,
2008-10,0.483,
2008-11,0.463,
2008-12,0.418,
2009-01,0.406,
2009-02,0.405,
2009-03,0.403,
2009-04,0.387,
2009-05,0.376,
2009-06,0.399,
2009-07,0.383,
2009-08,0.377,
2009-09,0.386,
2009-10,0.391,
2009-11,0.388,
2009-12,0.354,
2010-01,0.352,
2010-02,0.372,
2010-03,0.400,
2010-04,0.405,
2010-05,0.413,
2010-06,0.420,
2010-07,0.413,
2010-08,0.392,
2010-09,0.391,
2010-10,0.404,
2010-11,0.407,
2010-12,0.388,
2011-01,0.402,
2011-02,0.438,
2011-03,0.452,
2011-04,0.460,
2011-05,0.458,
2011-06,0.470,
2011-07,0.449,
2011-08,0.418,
2011-09,0.453,
2011-10,0.434,
2011-11,0.446,
2011-12,0.399,
2012-01,0.414,
2012-02,0.432,
2012-03,0.468,
2012-04,0.468,
2012-05,0.480,
2012-06,0.490,
2012-07,0.474,
2012-08,0.440,
2012-09,0.458,
2012-10,0.455,
2012-11,0.482,
2012-12,0.449,
2013-01,0.448,
2013-02,0.470,
2013-03,0.497,
2013-04,0.468,
2013-05,0.462,
2013-06,0.478,
2013-07,0.454,
2013-08,0.457,
2013-09,0.469,
2013-10,0.470,
2013-11,0.470,
2013-12,0.433,
2014-01,0.440,
2014-02,0.467,
2014-03,0.502,
2014-04,0.490,
2014-05,0.460,
2014-06,0.446,
2014-07,0.440,
2014-08,0.438,
2014-09,0.467,
2014-10,0.465,
2014-11,0.492,
2014-12,0.454,
