"",BBK01.OEAH45U,BBK01.OEAH45U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:28,
2002-01,0.257,
2002-04,0.247,
2002-07,0.242,
2002-10,0.241,
2003-01,0.242,
2003-04,0.248,
2003-07,0.239,
2003-10,0.231,
2004-01,0.222,
2004-04,0.213,
2004-07,0.216,
2004-10,0.214,
2005-01,0.221,
2005-04,0.219,
2005-07,0.209,
2005-10,0.220,
2006-01,0.225,
2006-04,0.228,
2006-07,0.234,
2006-10,0.234,
2007-01,0.241,
2007-04,0.251,
2007-07,0.272,
2007-10,0.281,
2008-01,0.307,
2008-04,0.343,
2008-07,0.370,
2008-10,0.391,
2009-01,0.291,
2009-04,0.243,
2009-07,0.194,
2009-10,0.157,
2010-01,0.143,
2010-04,0.128,
2010-07,0.125,
2010-10,0.124,
2011-01,0.141,
2011-04,0.144,
2011-07,0.135,
2011-10,0.153,
2012-01,0.166,
2012-04,0.169,
2012-07,0.175,
2012-10,0.154,
2013-01,0.144,
2013-04,0.140,
2013-07,0.138,
2013-10,0.139,
2014-01,0.139,
2014-04,0.135,
2014-07,0.133,
