"",BBK01.OEHI02V,BBK01.OEHI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:37,
2002-01,9.053,
2002-04,9.097,
2002-07,9.419,
2002-10,9.929,
2003-01,9.571,
2003-04,9.511,
2003-07,9.515,
2003-10,9.778,
2004-01,9.506,
2004-04,9.546,
2004-07,9.500,
2004-10,9.930,
2005-01,9.595,
2005-04,9.645,
2005-07,9.729,
2005-10,10.162,
2006-01,9.817,
2006-04,9.815,
2006-07,9.912,
2006-10,10.168,
2007-01,9.986,
2007-04,10.188,
2007-07,10.337,
2007-10,10.721,
2008-01,10.614,
2008-04,10.763,
2008-07,11.017,
2008-10,11.506,
2009-01,12.161,
2009-04,12.950,
2009-07,13.369,
2009-10,13.863,
2010-01,13.973,
2010-04,14.147,
2010-07,14.380,
2010-10,14.922,
2011-01,14.618,
2011-04,14.724,
2011-07,14.377,
2011-10,15.347,
2012-01,15.338,
2012-04,15.208,
2012-07,15.613,
2012-10,16.202,
2013-01,16.238,
2013-04,16.661,
2013-07,16.919,
2013-10,17.432,
2014-01,17.438,
2014-04,17.942,
2014-07,18.131,
