"",BBK01.OEAO02P,BBK01.OEAO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:42,
2002-01,1.149,
2002-04,0.806,
2002-07,0.853,
2002-10,0.904,
2003-01,1.041,
2003-04,0.817,
2003-07,0.858,
2003-10,0.736,
2004-01,0.845,
2004-04,0.641,
2004-07,0.668,
2004-10,0.744,
2005-01,0.841,
2005-04,0.656,
2005-07,0.654,
2005-10,0.762,
2006-01,0.913,
2006-04,0.741,
2006-07,0.792,
2006-10,0.828,
2007-01,1.102,
2007-04,0.799,
2007-07,0.826,
2007-10,0.917,
2008-01,1.072,
2008-04,0.836,
2008-07,0.850,
2008-10,1.163,
2009-01,1.136,
2009-04,0.998,
2009-07,1.028,
2009-10,1.118,
2010-01,0.979,
2010-04,0.724,
2010-07,0.636,
2010-10,0.729,
2011-01,0.851,
2011-04,0.690,
2011-07,0.686,
2011-10,0.659,
2012-01,0.730,
2012-04,0.587,
2012-07,0.594,
2012-10,0.699,
2013-01,0.699,
2013-04,0.521,
2013-07,0.471,
2013-10,0.522,
2014-01,0.504,
2014-04,0.464,
2014-07,0.495,
