"",BBK01.CEH703,BBK01.CEH703_FLAGS
"",Other claims debtor: All sectors                 creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:54,
1991-01,-2.7,
1991-04,-1.2,
1991-07,3.7,
1991-10,4.2,
1992-01,1.0,
1992-04,-0.9,
1992-07,0.4,
1992-10,6.1,
1993-01,-4.2,
1993-04,-1.3,
1993-07,0.5,
1993-10,8.2,
1994-01,-2.9,
1994-04,-1.3,
1994-07,-0.4,
1994-10,10.1,
1995-01,7.8,
1995-04,0.3,
1995-07,2.1,
1995-10,7.1,
1996-01,-2.2,
1996-04,0.6,
1996-07,0.5,
1996-10,4.8,
1997-01,-1.3,
1997-04,2.0,
1997-07,2.0,
1997-10,7.7,
1998-01,1.1,
1998-04,6.2,
1998-07,10.8,
1998-10,-2.0,
1999-01,9.3,
1999-04,4.5,
1999-07,0.0,
1999-10,7.9,
2000-01,6.3,
2000-04,5.5,
2000-07,18.6,
2000-10,4.1,
2001-01,14.0,
2001-04,-0.4,
2001-07,-12.7,
2001-10,-4.6,
2002-01,7.3,
2002-04,-2.5,
2002-07,-1.6,
2002-10,5.7,
2003-01,0.1,
2003-04,-18.9,
2003-07,3.9,
2003-10,7.3,
2004-01,-6.9,
2004-04,-1.7,
2004-07,0.9,
2004-10,3.7,
2005-01,-16.3,
2005-04,3.8,
2005-07,4.0,
2005-10,-0.6,
2006-01,-6.3,
2006-04,7.8,
2006-07,8.3,
2006-10,18.4,
2007-01,-5.5,
2007-04,11.1,
2007-07,-0.1,
2007-10,-13.2,
2008-01,-3.5,
2008-04,3.8,
2008-07,7.7,
2008-10,33.0,
2009-01,26.5,
2009-04,-74.8,
2009-07,11.2,
2009-10,-8.5,
2010-01,-5.6,
2010-04,26.7,
2010-07,-15.1,
2010-10,-13.1,
2011-01,-31.5,
2011-04,3.5,
2011-07,-12.4,
2011-10,18.9,
2012-01,6.8,
2012-04,17.2,
2012-07,-11.0,
2012-10,-0.1,
2013-01,4.4,
2013-04,-16.5,
2013-07,-21.1,
2013-10,7.2,
2014-01,-12.1,
