"",BBK01.OEAJ07I,BBK01.OEAJ07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:36,
2002-01,0.242,
2002-04,0.203,
2002-07,0.202,
2002-10,0.207,
2003-01,0.231,
2003-04,0.244,
2003-07,0.142,
2003-10,0.149,
2004-01,0.173,
2004-04,0.186,
2004-07,0.195,
2004-10,0.212,
2005-01,0.274,
2005-04,0.294,
2005-07,0.264,
2005-10,0.282,
2006-01,0.261,
2006-04,0.226,
2006-07,0.191,
2006-10,0.188,
2007-01,0.184,
2007-04,0.167,
2007-07,0.148,
2007-10,0.129,
2008-01,0.129,
2008-04,0.100,
2008-07,0.092,
2008-10,0.097,
2009-01,0.116,
2009-04,0.113,
2009-07,0.121,
2009-10,0.118,
2010-01,0.146,
2010-04,0.159,
2010-07,0.151,
2010-10,0.145,
2011-01,0.146,
2011-04,0.139,
2011-07,0.117,
2011-10,0.110,
2012-01,0.108,
2012-04,0.126,
2012-07,0.142,
2012-10,0.158,
2013-01,0.193,
2013-04,0.224,
2013-07,0.231,
2013-10,0.221,
2014-01,0.243,
2014-04,0.239,
2014-07,0.248,
