"",BBSF2.M.1.S.I0015.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:35,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,1,
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,1,
2005-07,-,Nothing exists
2005-08,1,
2005-09,1,
2005-10,2,
2005-11,4,
2005-12,4,
2006-01,4,
2006-02,4,
2006-03,4,
2006-04,4,
2006-05,5,
2006-06,6,
2006-07,7,
2006-08,7,
2006-09,8,
2006-10,8,
2006-11,10,
2006-12,10,
2007-01,10,
2007-02,11,
2007-03,11,
2007-04,12,
2007-05,12,
2007-06,13,
2007-07,14,
2007-08,14,
2007-09,15,
2007-10,17,
2007-11,23,
2007-12,25,
2008-01,26,
2008-02,26,
2008-03,26,
2008-04,30,
2008-05,36,
2008-06,37,
2008-07,38,
2008-08,38,
2008-09,38,
2008-10,38,
2008-11,60,
2008-12,61,
2009-01,61,
2009-02,60,
2009-03,62,
2009-04,85,
2009-05,97,
2009-06,103,
2009-07,102,
2009-08,101,
2009-09,102,
2009-10,105,
2009-11,104,
2009-12,102,
2010-01,107,
2010-02,105,
2010-03,106,
2010-04,107,
2010-05,109,
2010-06,108,
2010-07,108,
2010-08,106,
2010-09,105,
2010-10,107,
2010-11,108,
2010-12,107,
2011-01,108,
2011-02,108,
2011-03,108,
2011-04,108,
2011-05,108,
2011-06,111,
2011-07,110,
2011-08,110,
2011-09,116,
2011-10,124,
2011-11,124,
2011-12,123,
2012-01,125,
2012-02,126,
2012-03,125,
2012-04,126,
2012-05,126,
2012-06,125,
2012-07,123,
2012-08,124,
2012-09,125,
2012-10,126,
2012-11,123,
2012-12,123,
2013-01,123,
2013-02,120,
2013-03,119,
2013-04,120,
2013-05,118,
2013-06,119,
2013-07,119,
2013-08,118,
2013-09,119,
2013-10,115,
2013-11,108,
2013-12,108,
2014-01,103,
2014-02,103,
2014-03,104,
2014-04,105,
2014-05,105,
2014-06,105,
2014-07,101,
2014-08,83,
2014-09,84,
2014-10,84,
2014-11,84,
