"",BBK01.CELA10,BBK01.CELA10_FLAGS
"",short-term debt securities                                                  debtor: Non-financial corporations  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:37,
1999-01,2.5,
1999-04,0.2,
1999-07,1.8,
1999-10,-0.1,
2000-01,1.4,
2000-04,2.6,
2000-07,1.7,
2000-10,0.5,
2001-01,3.8,
2001-04,-0.8,
2001-07,4.8,
2001-10,-1.4,
2002-01,-3.5,
2002-04,-1.2,
2002-07,3.5,
2002-10,0.4,
2003-01,7.5,
2003-04,1.0,
2003-07,-1.2,
2003-10,4.2,
2004-01,-0.3,
2004-04,2.5,
2004-07,-7.1,
2004-10,-2.5,
2005-01,4.7,
2005-04,-1.9,
2005-07,-4.7,
2005-10,-5.1,
2006-01,6.2,
2006-04,3.1,
2006-07,-4.5,
2006-10,-4.0,
2007-01,6.0,
2007-04,4.5,
2007-07,-0.2,
2007-10,8.4,
2008-01,9.5,
2008-04,-6.5,
2008-07,0.4,
2008-10,0.2,
2009-01,-13.5,
2009-04,-8.3,
2009-07,-2.3,
2009-10,-2.7,
2010-01,0.2,
2010-04,0.8,
2010-07,-2.8,
2010-10,1.5,
2011-01,2.8,
2011-04,-3.2,
2011-07,5.5,
2011-10,-0.2,
2012-01,-3.5,
2012-04,3.7,
2012-07,-0.7,
2012-10,-1.2,
2013-01,5.3,
2013-04,-1.0,
2013-07,-1.2,
2013-10,-4.1,
2014-01,-2.8,
2014-04,-6.3,
2014-07,-1.6,
