"",BBSF2.M.1.T.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Bonds funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:02,
2009-09,2148,
2009-10,-980,
2009-11,2185,
2009-12,4766,
2010-01,4588,
2010-02,2745,
2010-03,2413,
2010-04,1778,
2010-05,1747,
2010-06,-44,
2010-07,-118,
2010-08,1873,
2010-09,2457,
2010-10,1967,
2010-11,2134,
2010-12,2838,
2011-01,2152,
2011-02,1632,
2011-03,-987,
2011-04,-659,
2011-05,-2333,
2011-06,1087,
2011-07,107,
2011-08,478,
2011-09,1195,
2011-10,2049,
2011-11,941,
2011-12,6214,
2012-01,4875,
2012-02,2644,
2012-03,2505,
2012-04,13,
2012-05,782,
2012-06,3601,
2012-07,3342,
2012-08,1358,
2012-09,524,
2012-10,2014,
2012-11,1746,
2012-12,4264,
2013-01,3203,
2013-02,1650,
2013-03,1952,
2013-04,957,
2013-05,252,
2013-06,-665,
2013-07,1968,
2013-08,-211,
2013-09,26,
2013-10,795,
2013-11,7245,
2013-12,2188,
2014-01,2452,
2014-02,2405,
2014-03,7026,
2014-04,-4302,
2014-05,1642,
2014-06,1310,
2014-07,2901,
2014-08,2424,
2014-09,2582,
2014-10,2626,
2014-11,1628,
