"",BBK01.OEAC51L,BBK01.OEAC51L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:05,
2002-01,1.156,
2002-04,1.159,
2002-07,1.162,
2002-10,1.050,
2003-01,1.178,
2003-04,1.186,
2003-07,1.218,
2003-10,1.221,
2004-01,1.228,
2004-04,1.218,
2004-07,1.221,
2004-10,1.276,
2005-01,1.080,
2005-04,1.081,
2005-07,1.089,
2005-10,1.107,
2006-01,1.184,
2006-04,1.184,
2006-07,1.197,
2006-10,1.226,
2007-01,1.229,
2007-04,1.253,
2007-07,1.302,
2007-10,1.348,
2008-01,1.353,
2008-04,1.399,
2008-07,1.433,
2008-10,1.449,
2009-01,1.365,
2009-04,1.369,
2009-07,1.370,
2009-10,1.375,
2010-01,1.412,
2010-04,1.458,
2010-07,1.507,
2010-10,1.501,
2011-01,1.486,
2011-04,1.508,
2011-07,1.530,
2011-10,1.554,
2012-01,1.564,
2012-04,1.590,
2012-07,1.615,
2012-10,1.612,
2013-01,1.612,
2013-04,1.610,
2013-07,1.628,
2013-10,1.640,
2014-01,1.647,
2014-04,1.657,
2014-07,1.673,
