"",BBFB1.Q.N.DE.DK.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:16,
1991-01,-72.281,
1991-04,-121.244,
1991-07,-70.419,
1991-10,-258.695,
1992-01,-112.603,
1992-04,-190.128,
1992-07,-12.781,
1992-10,-289.148,
1993-01,209.717,
1993-04,111.910,
1993-07,114.206,
1993-10,2.894,
1994-01,227.894,
1994-04,213.243,
1994-07,285.025,
1994-10,4.192,
1995-01,251.249,
1995-04,253.777,
1995-07,293.906,
1995-10,177.982,
1996-01,378.381,
1996-04,190.226,
1996-07,167.120,
1996-10,182.447,
1997-01,302.228,
1997-04,365.929,
1997-07,175.891,
1997-10,8.520,
1998-01,269.328,
1998-04,431.361,
1998-07,390.166,
1998-10,453.703,
1999-01,414.874,
1999-04,401.953,
1999-07,401.162,
1999-10,219.232,
2000-01,224.088,
2000-04,257.687,
2000-07,197.949,
2000-10,84.663,
2001-01,394.094,
2001-04,490.792,
2001-07,347.076,
2001-10,282.447,
2002-01,531.781,
2002-04,619.303,
2002-07,633.385,
2002-10,335.922,
2003-01,431.492,
2003-04,403.985,
2003-07,554.615,
2003-10,260.154,
2004-01,264.000,
2004-04,425.233,
2004-07,436.180,
2004-10,434.450,
2005-01,520.940,
2005-04,518.234,
2005-07,570.082,
2005-10,741.647,
2006-01,714.527,
2006-04,1166.926,
2006-07,937.338,
2006-10,1040.984,
2007-01,1091.797,
2007-04,1133.563,
2007-07,1074.973,
2007-10,1373.181,
2008-01,1115.174,
2008-04,1378.161,
2008-07,992.838,
2008-10,732.498,
2009-01,734.251,
2009-04,708.197,
2009-07,463.988,
2009-10,143.859,
2010-01,882.392,
2010-04,864.309,
2010-07,822.105,
2010-10,1126.648,
2011-01,979.779,
2011-04,608.737,
2011-07,942.956,
2011-10,263.958,
2012-01,866.186,
2012-04,1025.554,
2012-07,955.640,
2012-10,930.630,
2013-01,1072.186,
2013-04,1343.385,
2013-07,1180.197,
2013-10,973.913,
2014-01,997.585,Provisional value
2014-04,1355.360,Provisional value
2014-07,1398.671,Provisional value
