"",BBK01.OEAD31P,BBK01.OEAD31P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:08,
2002-01,0.717,
2002-04,0.720,
2002-07,0.720,
2002-10,0.701,
2003-01,0.752,
2003-04,0.756,
2003-07,0.738,
2003-10,0.742,
2004-01,0.734,
2004-04,0.712,
2004-07,0.682,
2004-10,0.651,
2005-01,0.638,
2005-04,0.652,
2005-07,0.649,
2005-10,0.645,
2006-01,0.620,
2006-04,0.630,
2006-07,0.640,
2006-10,0.634,
2007-01,0.621,
2007-04,0.629,
2007-07,0.626,
2007-10,0.661,
2008-01,0.704,
2008-04,0.741,
2008-07,0.739,
2008-10,0.787,
2009-01,0.775,
2009-04,0.774,
2009-07,0.783,
2009-10,0.792,
2010-01,0.813,
2010-04,0.907,
2010-07,0.914,
2010-10,0.933,
2011-01,0.926,
2011-04,0.906,
2011-07,0.906,
2011-10,0.897,
2012-01,0.892,
2012-04,0.867,
2012-07,0.851,
2012-10,0.863,
2013-01,0.835,
2013-04,0.826,
2013-07,0.797,
2013-10,0.780,
2014-01,0.748,
2014-04,0.727,
2014-07,0.738,
