"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:59,
1991-01,2327.986,
1991-02,2560.013,
1991-03,10970.975,
1991-04,-1983.309,
1991-05,-2301.742,
1991-06,5621.037,
1991-07,-1288.434,
1991-08,1131.723,
1991-09,-805.363,
1991-10,5429.929,
1991-11,-1140.713,
1991-12,115.858,
1992-01,-2302.031,
1992-02,4297.447,
1992-03,3973.142,
1992-04,2052.165,
1992-05,135.300,
1992-06,2795.800,
1992-07,-417.965,
1992-08,3782.119,
1992-09,18568.814,
1992-10,-1671.915,
1992-11,3437.164,
1992-12,760.650,
1993-01,-672.455,
1993-02,9036.315,
1993-03,1156.530,
1993-04,-1017.733,
1993-05,1914.839,
1993-06,4682.769,
1993-07,1846.114,
1993-08,4621.119,
1993-09,-222.953,
1993-10,5487.364,
1993-11,2102.943,
1993-12,7253.976,
1994-01,4845.280,
1994-02,3388.863,
1994-03,7413.152,
1994-04,3427.528,
1994-05,6183.289,
1994-06,-1039.407,
1994-07,3895.560,
1994-08,6359.314,
1994-09,2880.049,
1994-10,6080.623,
1994-11,4892.292,
1994-12,16398.258,
1995-01,1485.643,
1995-02,16809.930,
1995-03,6697.229,
1995-04,7317.558,
1995-05,8006.146,
1995-06,5962.441,
1995-07,-2506.602,
1995-08,8869.534,
1995-09,9568.194,
1995-10,4471.109,
1995-11,1702.145,
1995-12,5003.891,
1996-01,-1064.001,
1996-02,4942.063,
1996-03,5161.922,
1996-04,10480.751,
1996-05,3264.330,
1996-06,-1711.893,
1996-07,-5862.461,
1996-08,-1205.798,
1996-09,1116.555,
1996-10,599.164,
1996-11,15302.493,
1996-12,6113.011,
1997-01,9876.551,
1997-02,16359.574,
1997-03,18489.802,
1997-04,11834.734,
1997-05,7663.677,
1997-06,16608.034,
1997-07,-1837.373,
1997-08,3005.585,
1997-09,-4392.967,
1997-10,31710.403,
1997-11,8293.669,
1997-12,-7440.922,
1998-01,15042.228,
1998-02,10187.848,
1998-03,24936.527,
1998-04,10574.458,
1998-05,22933.044,
1998-06,4368.760,
1998-07,-11291.069,
1998-08,8997.617,
1998-09,10205.636,
1998-10,32438.487,
1998-11,37001.457,
1998-12,-8203.824,
1999-01,60244.700,
1999-02,-27895.800,
1999-03,14391.176,
1999-04,13057.189,
1999-05,2443.322,
1999-06,3383.607,
1999-07,-291.839,
1999-08,11923.948,
1999-09,8249.428,
1999-10,15333.164,
1999-11,25425.240,
1999-12,-14660.479,
2000-01,34209.197,
2000-02,27854.604,
2000-03,32323.368,
2000-04,22200.388,
2000-05,28548.510,
2000-06,-48621.947,
2000-07,-21382.185,
2000-08,14092.023,
2000-09,14317.667,
2000-10,971.294,
2000-11,23688.999,
2000-12,6306.020,
2001-01,40251.120,
2001-02,28824.988,
2001-03,67530.420,
2001-04,26792.783,
2001-05,7710.801,
2001-06,-47113.460,
2001-07,-21316.026,
2001-08,18851.882,
2001-09,959.022,
2001-10,10466.564,
2001-11,-6350.756,
2001-12,-41740.747,
2002-01,17781.083,
2002-02,-16909.143,
2002-03,19697.205,
2002-04,32115.003,
2002-05,14649.820,
2002-06,-39669.452,
2002-07,8177.288,
2002-08,1832.171,
2002-09,23078.002,
2002-10,7779.822,
2002-11,23902.801,
2002-12,-53972.476,
2003-01,19979.501,
2003-02,9423.506,
2003-03,15194.619,
2003-04,14498.372,
2003-05,1002.772,
2003-06,-14921.527,
2003-07,-1281.618,
2003-08,-28524.830,
2003-09,25297.068,
2003-10,-10142.704,
2003-11,-3562.420,
2003-12,-6373.715,
2004-01,23164.053,
2004-02,12082.410,
2004-03,28455.134,
2004-04,-902.607,
2004-05,-23322.389,
2004-06,-29744.023,
2004-07,-9842.112,
2004-08,5892.419,
2004-09,30186.741,
2004-10,-1771.132,
2004-11,33094.768,
2004-12,-31609.769,
2005-01,52159.115,
2005-02,23278.686,
2005-03,2960.291,
2005-04,71946.513,
2005-05,-15251.341,
2005-06,-67789.113,
2005-07,-132.361,
2005-08,225.140,
2005-09,18570.864,
2005-10,26120.665,
2005-11,14100.270,
2005-12,-60680.961,
2006-01,47755.297,
2006-02,12347.742,
2006-03,13668.921,
2006-04,24407.816,
2006-05,4697.447,
2006-06,-18522.008,
2006-07,-24979.468,
2006-08,13936.979,
2006-09,31906.745,
2006-10,-3916.368,
2006-11,19157.647,
2006-12,-24728.900,
2007-01,23876.858,
2007-02,34642.000,
2007-03,-4544.677,
2007-04,47080.260,
2007-05,27141.651,
2007-06,-31717.083,
2007-07,-10632.392,
2007-08,27950.796,
2007-09,51308.571,
2007-10,4538.465,
2007-11,8037.921,
2007-12,-56201.637,
2008-01,77123.141,
2008-02,44370.734,
2008-03,18891.202,
2008-04,49722.082,
2008-05,-18724.003,
2008-06,-48991.042,
2008-07,-11862.344,
2008-08,-8259.365,
2008-09,50825.424,
2008-10,-47943.186,
2008-11,-46900.953,
2008-12,-46636.963,
2009-01,24926.503,
2009-02,-29912.896,
2009-03,-31974.964,
2009-04,40996.435,
2009-05,-59363.536,
2009-06,3723.391,
2009-07,-15198.084,
2009-08,-10789.977,
2009-09,-17842.301,
2009-10,3731.911,
2009-11,-8016.957,
2009-12,-35329.661,
2010-01,26982.567,
2010-02,-981.351,
2010-03,14605.104,
2010-04,80645.537,
2010-05,75617.366,
2010-06,-67512.020,
2010-07,36062.224,
2010-08,21656.595,
2010-09,-40525.894,
2010-10,86735.259,
2010-11,-14869.392,
2010-12,-34367.003,
