"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / All areas other than EU and ref./home area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:07,
2009-09,79312,
2009-10,79097,
2009-11,80729,
2009-12,82503,
2010-01,84192,
2010-02,84107,
2010-03,86402,
2010-04,89319,
2010-05,92533,
2010-06,93334,
2010-07,92398,
2010-08,96796,
2010-09,96380,
2010-10,97500,
2010-11,99264,
2010-12,97809,
2011-01,97412,
2011-02,98884,
2011-03,96993,
2011-04,96762,
2011-05,99187,
2011-06,98893,
2011-07,101122,
2011-08,100115,
2011-09,101526,
2011-10,106228,
2011-11,102400,
2011-12,106667,
2012-01,111133,
2012-02,113225,
2012-03,114884,
2012-04,118203,
2012-05,123566,
2012-06,124927,
2012-07,131337,
2012-08,131964,
2012-09,133101,
2012-10,134665,
2012-11,138507,
2012-12,138776,
2013-01,136689,
2013-02,140869,
2013-03,143274,
2013-04,146397,
2013-05,145478,
2013-06,142707,
2013-07,145281,
2013-08,145333,
2013-09,148461,
2013-10,151106,
2013-11,156123,
2013-12,155520,
2014-01,159794,
2014-02,158763,
2014-03,163643,
2014-04,166926,
2014-05,172730,
2014-06,176350,
2014-07,180506,
2014-08,186132,
2014-09,191674,
2014-10,196616,
2014-11,201385,
