"",BBK01.OELO03L,BBK01.OELO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:55,
2002-01,2.997,
2002-04,1.995,
2002-07,1.910,
2002-10,2.070,
2003-01,2.558,
2003-04,1.995,
2003-07,1.823,
2003-10,2.284,
2004-01,2.362,
2004-04,1.736,
2004-07,1.527,
2004-10,1.843,
2005-01,1.920,
2005-04,1.838,
2005-07,1.534,
2005-10,1.702,
2006-01,2.104,
2006-04,1.703,
2006-07,1.862,
2006-10,2.235,
2007-01,2.737,
2007-04,2.168,
2007-07,2.167,
2007-10,2.500,
2008-01,2.534,
2008-04,2.067,
2008-07,2.001,
2008-10,2.184,
2009-01,2.104,
2009-04,1.532,
2009-07,1.545,
2009-10,1.741,
2010-01,1.787,
2010-04,1.463,
2010-07,1.314,
2010-10,1.347,
2011-01,1.431,
2011-04,1.314,
2011-07,1.395,
2011-10,1.479,
2012-01,1.563,
2012-04,1.443,
2012-07,1.425,
2012-10,1.494,
2013-01,1.484,
2013-04,1.242,
2013-07,1.142,
2013-10,1.247,
2014-01,1.423,
2014-04,1.304,
2014-07,1.283,
