"",BBK01.OXA7D6,BBK01.OXA7D6_FLAGS
"","Stocks of loans to other sectors (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:34,
2009-12,0.685,
2010-01,0.722,
2010-02,0.735,
2010-03,0.818,
2010-04,0.818,
2010-05,0.795,
2010-06,0.783,
2010-07,0.794,
2010-08,0.876,
2010-09,0.866,
2010-10,0.911,
2010-11,1.024,
2010-12,0.876,
2011-01,0.866,
2011-02,0.875,
2011-03,0.537,
2011-04,0.519,
2011-05,0.518,
2011-06,0.514,
2011-07,0.519,
2011-08,0.516,
2011-09,0.514,
2011-10,0.527,
2011-11,0.534,
2011-12,0.583,
2012-01,0.594,
2012-02,0.587,
2012-03,0.541,
2012-04,0.528,
2012-05,0.526,
2012-06,0.518,
2012-07,0.516,
2012-08,0.515,
2012-09,0.491,
2012-10,0.475,
2012-11,0.464,
2012-12,0.440,
2013-01,0.446,
2013-02,0.446,
2013-03,0.444,
2013-04,0.442,
2013-05,0.442,
2013-06,0.444,
2013-07,0.448,
2013-08,0.448,
2013-09,0.451,
2013-10,0.454,
2013-11,0.454,
2013-12,0.454,
2014-01,0.436,
2014-02,0.380,
2014-03,0.381,
2014-04,0.061,
2014-05,0.063,
2014-06,0.059,
2014-07,0.057,
2014-08,0.048,
2014-09,0.048,
2014-10,0.047,
2014-11,0.047,
2014-12,0.071,Provisional value
