"",BBK01.OEAH80N,BBK01.OEAH80N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:40,
2002-01,0.527,
2002-04,0.543,
2002-07,0.529,
2002-10,0.523,
2003-01,0.497,
2003-04,0.497,
2003-07,0.483,
2003-10,0.475,
2004-01,0.471,
2004-04,0.468,
2004-07,0.464,
2004-10,0.463,
2005-01,0.445,
2005-04,0.434,
2005-07,0.425,
2005-10,0.427,
2006-01,0.411,
2006-04,0.437,
2006-07,0.430,
2006-10,0.420,
2007-01,0.393,
2007-04,0.308,
2007-07,0.303,
2007-10,0.315,
2008-01,0.311,
2008-04,0.297,
2008-07,0.298,
2008-10,0.304,
2009-01,0.324,
2009-04,0.328,
2009-07,0.346,
2009-10,0.352,
2010-01,0.358,
2010-04,0.445,
2010-07,0.352,
2010-10,0.352,
2011-01,0.356,
2011-04,0.348,
2011-07,0.304,
2011-10,0.293,
2012-01,0.277,
2012-04,0.267,
2012-07,0.258,
2012-10,0.248,
2013-01,0.240,
2013-04,0.237,
2013-07,0.245,
2013-10,0.241,
2014-01,0.230,
2014-04,0.233,
2014-07,0.218,
