"",BBK01.OECB10J,BBK01.OECB10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:11,
2002-01,0.595,
2002-04,0.708,
2002-07,0.666,
2002-10,0.614,
2003-01,0.647,
2003-04,0.672,
2003-07,0.629,
2003-10,0.403,
2004-01,0.431,
2004-04,0.479,
2004-07,0.412,
2004-10,0.353,
2005-01,0.338,
2005-04,0.319,
2005-07,0.360,
2005-10,0.281,
2006-01,0.326,
2006-04,0.358,
2006-07,0.345,
2006-10,0.356,
2007-01,0.467,
2007-04,0.505,
2007-07,0.534,
2007-10,0.396,
2008-01,0.402,
2008-04,0.461,
2008-07,0.459,
2008-10,0.421,
2009-01,0.429,
2009-04,0.429,
2009-07,0.408,
2009-10,0.313,
2010-01,0.337,
2010-04,0.400,
2010-07,0.353,
2010-10,0.329,
2011-01,0.418,
2011-04,0.471,
2011-07,0.438,
2011-10,0.425,
2012-01,0.451,
2012-04,0.549,
2012-07,0.519,
2012-10,0.438,
2013-01,0.460,
2013-04,0.382,
2013-07,0.391,
2013-10,0.396,
2014-01,0.449,
2014-04,0.427,
2014-07,0.382,
