"",BBFN1.M.DE.N.1.A.IL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Israel,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:24,
1982-09,0.058,
1982-10,0.058,
1982-11,0.054,
1982-12,0.057,
1983-01,0.058,
1983-02,0.046,
1983-03,0.046,
1983-04,0.046,
1983-05,0.045,
1983-06,0.043,
1983-07,0.043,
1983-08,0.042,
1983-09,0.042,
1983-10,0.044,
1983-11,0.044,
1983-12,0.043,
1984-01,0.042,
1984-02,0.042,
1984-03,0.044,
1984-04,0.044,
1984-05,0.040,
1984-06,0.038,
1984-07,0.037,
1984-08,0.037,
1984-09,0.037,
1984-10,0.037,
1984-11,0.036,
1984-12,0.035,
1985-01,0.034,
1985-02,0.034,
1985-03,0.034,
1985-04,0.034,
1985-05,0.034,
1985-06,0.034,
1985-07,0.034,
1985-08,0.034,
1985-09,0.035,
1985-10,0.033,
1985-11,0.033,
1985-12,0.034,
1986-01,0.034,
1986-02,0.034,
1986-03,0.037,
1986-04,0.037,
1986-05,0.037,
1986-06,0.037,
1986-07,0.038,
1986-08,0.038,
1986-09,0.038,
1986-10,0.038,
1986-11,0.039,
1986-12,0.039,
1987-01,0.040,
1987-02,0.040,
1987-03,0.041,
1987-04,0.040,
1987-05,0.040,
1987-06,0.040,
1987-07,0.040,
1987-08,0.040,
1987-09,0.041,
1987-10,0.046,
1987-11,0.045,
1987-12,0.056,
1988-01,0.054,
1988-02,0.055,
1988-03,0.055,
1988-04,0.059,
1988-05,0.057,
1988-06,0.057,
1988-07,0.058,
1988-08,0.058,
1988-09,0.058,
1988-10,0.058,
1988-11,0.055,
1988-12,0.056,
1989-01,0.051,
1989-02,0.053,
1989-03,0.054,
1989-04,0.054,
1989-05,0.052,
1989-06,0.042,
1989-07,0.044,
1989-08,0.043,
1989-09,0.041,
1989-10,0.042,
1989-11,0.041,
1989-12,0.044,
1990-01,0.045,
1990-02,0.046,
1990-03,0.045,
1990-04,0.046,
1990-05,0.044,
1990-06,0.047,
1990-07,0.046,
1990-08,0.046,
1990-09,0.048,
1990-10,0.048,
1990-11,0.051,
1990-12,0.052,
1991-01,0.051,
1991-02,0.053,
1991-03,0.051,
1991-04,0.048,
1991-05,0.048,
1991-06,0.048,
1991-07,0.048,
1991-08,0.049,
1991-09,0.049,
1991-10,0.050,
1991-11,0.058,
1991-12,0.054,
1992-01,0.067,
1992-02,0.057,
1992-03,0.059,
