"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:42,
2009-09,38736,
2009-10,38914,
2009-11,39118,
2009-12,39864,
2010-01,39972,
2010-02,40035,
2010-03,40223,
2010-04,40236,
2010-05,40318,
2010-06,40384,
2010-07,40486,
2010-08,40611,
2010-09,40747,
2010-10,41071,
2010-11,41157,
2010-12,41731,
2011-01,42088,
2011-02,42484,
2011-03,42626,
2011-04,43027,
2011-05,43095,
2011-06,43540,
2011-07,43937,
2011-08,44181,
2011-09,44410,
2011-10,44658,
2011-11,44819,
2011-12,44966,
2012-01,45152,
2012-02,45180,
2012-03,45528,
2012-04,45425,
2012-05,45434,
2012-06,45686,
2012-07,46220,
2012-08,46572,
2012-09,46805,
2012-10,47104,
2012-11,47296,
2012-12,48163,
2013-01,48843,
2013-02,48936,
2013-03,48824,
2013-04,48894,
2013-05,48916,
2013-06,49972,
2013-07,50412,
2013-08,50836,
2013-09,50973,
2013-10,51314,
2013-11,52096,
2013-12,53354,
2014-01,53977,
2014-02,54238,
2014-03,54743,
2014-04,56099,
2014-05,56094,
2014-06,56337,
2014-07,57262,
2014-08,57525,
2014-09,56937,
2014-10,56942,
2014-11,57670,
