"",BBK01.OECB08M,BBK01.OECB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:38,
2002-01,8.907,
2002-04,8.840,
2002-07,8.784,
2002-10,8.758,
2003-01,8.534,
2003-04,8.444,
2003-07,8.374,
2003-10,8.218,
2004-01,8.108,
2004-04,8.008,
2004-07,7.960,
2004-10,8.383,
2005-01,14.526,
2005-04,15.783,
2005-07,15.772,
2005-10,15.784,
2006-01,15.740,
2006-04,17.386,
2006-07,17.171,
2006-10,16.836,
2007-01,19.655,
2007-04,16.897,
2007-07,16.488,
2007-10,16.217,
2008-01,15.887,
2008-04,15.584,
2008-07,15.162,
2008-10,14.745,
2009-01,14.415,
2009-04,15.699,
2009-07,15.289,
2009-10,14.910,
2010-01,14.717,
2010-04,14.512,
2010-07,14.632,
2010-10,14.271,
2011-01,14.006,
2011-04,13.796,
2011-07,13.552,
2011-10,13.273,
2012-01,13.045,
2012-04,12.778,
2012-07,12.697,
2012-10,12.586,
2013-01,12.444,
2013-04,12.340,
2013-07,12.079,
2013-10,12.181,
2014-01,12.020,
2014-04,11.997,
2014-07,12.035,
