"",BBK01.OEYI01G,BBK01.OEYI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:33,
2002-01,132.859,
2002-04,130.666,
2002-07,131.084,
2002-10,129.545,
2003-01,131.797,
2003-04,131.330,
2003-07,132.785,
2003-10,130.736,
2004-01,129.904,
2004-04,130.146,
2004-07,128.716,
2004-10,128.283,
2005-01,132.632,
2005-04,135.948,
2005-07,148.248,
2005-10,150.133,
2006-01,151.995,
2006-04,151.859,
2006-07,155.322,
2006-10,157.459,
2007-01,163.031,
2007-04,167.843,
2007-07,169.871,
2007-10,167.454,
2008-01,160.129,
2008-04,173.871,
2008-07,185.992,
2008-10,182.384,
2009-01,185.965,
2009-04,194.670,
2009-07,195.834,
2009-10,196.200,
2010-01,193.851,
2010-04,196.039,
2010-07,202.030,
2010-10,195.287,
2011-01,204.903,
2011-04,203.045,
2011-07,205.409,
2011-10,191.324,
2012-01,198.704,
2012-04,198.644,
2012-07,196.899,
2012-10,188.682,
2013-01,189.925,
2013-04,186.674,
2013-07,176.350,
2013-10,179.627,
2014-01,180.556,
2014-04,183.331,
2014-07,181.451,
