"",BBK01.OEAH74H,BBK01.OEAH74H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:10,
2002-01,5.584,
2002-04,5.198,
2002-07,5.096,
2002-10,3.852,
2003-01,3.827,
2003-04,4.179,
2003-07,3.920,
2003-10,3.370,
2004-01,3.648,
2004-04,3.287,
2004-07,3.277,
2004-10,3.754,
2005-01,3.790,
2005-04,4.056,
2005-07,4.216,
2005-10,5.009,
2006-01,4.709,
2006-04,5.728,
2006-07,7.465,
2006-10,8.765,
2007-01,8.163,
2007-04,9.257,
2007-07,13.805,
2007-10,16.756,
2008-01,15.365,
2008-04,17.600,
2008-07,16.986,
2008-10,15.853,
2009-01,11.905,
2009-04,9.869,
2009-07,7.720,
2009-10,5.168,
2010-01,7.696,
2010-04,6.191,
2010-07,9.326,
2010-10,9.781,
2011-01,9.230,
2011-04,14.661,
2011-07,12.022,
2011-10,12.992,
2012-01,12.673,
2012-04,14.993,
2012-07,12.797,
2012-10,12.178,
2013-01,15.065,
2013-04,15.455,
2013-07,14.791,
2013-10,13.922,
2014-01,14.866,
2014-04,14.763,
2014-07,14.186,
