"",BBSF2.M.1.P.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Bonds funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:28,
2009-09,1987,
2009-10,1836,
2009-11,1838,
2009-12,1749,
2010-01,1779,
2010-02,1898,
2010-03,1772,
2010-04,1723,
2010-05,1582,
2010-06,1583,
2010-07,2094,
2010-08,1879,
2010-09,1820,
2010-10,1607,
2010-11,1868,
2010-12,1942,
2011-01,1813,
2011-02,1762,
2011-03,1873,
2011-04,1950,
2011-05,1684,
2011-06,1591,
2011-07,3219,
2011-08,3122,
2011-09,3628,
2011-10,4603,
2011-11,4635,
2011-12,4497,
2012-01,4316,
2012-02,3989,
2012-03,3812,
2012-04,3703,
2012-05,3840,
2012-06,3904,
2012-07,3866,
2012-08,3819,
2012-09,3120,
2012-10,3036,
2012-11,3027,
2012-12,3277,
2013-01,2910,
2013-02,2806,
2013-03,2727,
2013-04,2741,
2013-05,2851,
2013-06,3334,
2013-07,3057,
2013-08,3317,
2013-09,2944,
2013-10,3316,
2013-11,3507,
2013-12,3416,
2014-01,3344,
2014-02,2940,
2014-03,2755,
2014-04,2529,
2014-05,2268,
2014-06,2528,
2014-07,2777,
2014-08,2778,
2014-09,2972,
2014-10,2745,
2014-11,2138,
