"",BBK01.OEHJ01T,BBK01.OEHJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:17,
2002-01,1.143,
2002-04,1.163,
2002-07,1.184,
2002-10,1.290,
2003-01,1.173,
2003-04,1.158,
2003-07,1.148,
2003-10,1.287,
2004-01,1.181,
2004-04,1.196,
2004-07,1.208,
2004-10,1.331,
2005-01,1.193,
2005-04,1.240,
2005-07,1.259,
2005-10,1.328,
2006-01,1.213,
2006-04,1.217,
2006-07,1.252,
2006-10,1.319,
2007-01,1.243,
2007-04,1.232,
2007-07,1.223,
2007-10,1.324,
2008-01,1.218,
2008-04,1.253,
2008-07,1.280,
2008-10,1.456,
2009-01,1.351,
2009-04,1.425,
2009-07,1.482,
2009-10,1.468,
2010-01,1.409,
2010-04,1.421,
2010-07,1.414,
2010-10,1.482,
2011-01,1.393,
2011-04,1.393,
2011-07,1.433,
2011-10,1.433,
2012-01,1.342,
2012-04,1.394,
2012-07,1.447,
2012-10,1.525,
2013-01,1.345,
2013-04,1.356,
2013-07,1.512,
2013-10,1.534,
2014-01,1.450,
2014-04,1.442,
2014-07,1.492,
