"",BBK01.OECK01M,BBK01.OECK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:38,
2002-01,0.542,
2002-04,0.572,
2002-07,0.562,
2002-10,0.578,
2003-01,0.526,
2003-04,0.631,
2003-07,0.599,
2003-10,0.551,
2004-01,0.593,
2004-04,0.600,
2004-07,0.587,
2004-10,0.697,
2005-01,0.820,
2005-04,0.829,
2005-07,0.820,
2005-10,0.837,
2006-01,0.789,
2006-04,0.819,
2006-07,0.801,
2006-10,0.866,
2007-01,0.891,
2007-04,0.952,
2007-07,1.005,
2007-10,1.080,
2008-01,1.049,
2008-04,1.064,
2008-07,1.148,
2008-10,1.224,
2009-01,1.164,
2009-04,1.100,
2009-07,1.056,
2009-10,1.034,
2010-01,0.999,
2010-04,0.997,
2010-07,0.990,
2010-10,0.998,
2011-01,0.973,
2011-04,0.949,
2011-07,0.951,
2011-10,1.002,
2012-01,1.039,
2012-04,1.029,
2012-07,1.022,
2012-10,1.038,
2013-01,1.015,
2013-04,0.993,
2013-07,1.004,
2013-10,1.037,
2014-01,1.021,
2014-04,1.013,
2014-07,1.036,
