"",BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.FR1._Z.X1.M.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.FR1._Z.X1.M.N_FLAGS
2000-05,946.900,
2000-06,673.629,
2000-07,-1624.158,
2000-08,879.149,
2000-09,-714.226,
2000-10,549.520,
2000-11,-332.891,
2000-12,-688.135,
2001-01,66.230,
2001-02,-1712.422,
2001-03,-1774.590,
2001-04,-491.508,
2001-05,481.592,
2001-06,-899.839,
2001-07,-1286.010,
2001-08,788.480,
2001-09,-112.267,
2001-10,-609.567,
2001-11,-271.106,
2001-12,-558.425,
2002-01,-2776.974,
2002-02,-1370.218,
2002-03,489.370,
2002-04,274.050,
2002-05,-742.163,
2002-06,-983.103,
2002-07,-1313.227,
2002-08,-1500.166,
2002-09,-671.336,
2002-10,-617.866,
2002-11,1248.942,
2002-12,155.758,
2003-01,-491.945,
2003-02,-80.565,
2003-03,-439.706,
2003-04,-474.922,
2003-05,93.097,
2003-06,-633.740,
2003-07,-354.441,
2003-08,1004.027,
2003-09,-355.392,
2003-10,655.501,
2003-11,12.749,
2003-12,-666.874,
2004-01,336.947,
2004-02,55.794,
2004-03,-600.257,
2004-04,376.080,
2004-05,328.102,
2004-06,-2178.156,
2004-07,871.718,
2004-08,-156.299,
2004-09,-226.749,
2004-10,-958.513,
2004-11,853.619,
2004-12,-197.851,
2005-01,1006.317,
2005-02,-393.849,
2005-03,18.551,
2005-04,-284.368,
2005-05,497.072,
2005-06,-363.408,
2005-07,899.011,
2005-08,326.692,
2005-09,-499.529,
2005-10,479.348,
2005-11,197.647,
2005-12,-272.067,
2006-01,-226.653,
2006-02,1103.035,
2006-03,-1260.259,
2006-04,887.063,
2006-05,198.898,
2006-06,-462.991,
2006-07,32.753,
2006-08,746.699,
2006-09,87.168,
2006-10,77.436,
2006-11,199.965,
2006-12,-175.239,
2007-01,796.550,
2007-02,-390.489,
2007-03,203.709,
2007-04,923.626,
2007-05,191.441,
2007-06,104.224,
2007-07,-935.210,
2007-08,206.231,
2007-09,1.758,
2007-10,125.736,
2007-11,-336.813,
2007-12,-391.067,
2008-01,-222.227,
2008-02,-302.203,
2008-03,965.462,
2008-04,1233.295,
2008-05,99.083,
2008-06,-2079.192,
2008-07,-666.446,
2008-08,16.075,
2008-09,220.037,
2008-10,464.739,
2008-11,-188.113,
2008-12,1516.150,
2009-01,416.294,
2009-02,-387.067,
2009-03,-262.554,
2009-04,-181.333,
2009-05,184.788,
2009-06,-1457.592,
2009-07,-178.774,
2009-08,-1582.613,
2009-09,-1064.194,
2009-10,-745.712,
2009-11,-31.202,
2009-12,176.768,
2010-01,-583.239,
2010-02,588.638,
2010-03,2157.376,
2010-04,-789.683,
2010-05,119.482,
2010-06,-138.156,
2010-07,33.444,
2010-08,-27.951,
2010-09,129.967,
2010-10,-248.676,
2010-11,311.736,
2010-12,613.813,
2011-01,570.947,
2011-02,-303.610,
2011-03,-168.004,
2011-04,366.661,
2011-05,42.669,
2011-06,404.559,
2011-07,-647.551,
2011-08,923.769,
2011-09,-365.660,
2011-10,685.580,
2011-11,-1002.128,
2011-12,787.485,
2012-01,71.901,
2012-02,1766.910,
2012-03,-42.106,
2012-04,-1573.783,
2012-05,589.622,
2012-06,223.672,
2012-07,-1108.189,
2012-08,-753.018,
2012-09,-590.833,
2012-10,125.549,
2012-11,1229.561,
2012-12,204.862,
2013-01,-58.943,
2013-02,-644.283,
2013-03,395.959,
2013-04,535.541,
2013-05,43.274,
2013-06,135.103,
2013-07,-493.092,
2013-08,1400.052,
2013-09,-459.167,
2013-10,-38.634,
2013-11,1093.816,
2013-12,97.089,
2014-01,53.407,
2014-02,287.456,
2014-03,331.296,
2014-04,-564.529,
2014-05,364.207,
2014-06,-135.492,
2014-07,-1291.142,
2014-08,51.263,
2014-09,601.846,
2014-10,-984.903,
2014-11,339.092,
2014-12,540.716,
