"",BBK01.PQU351,BBK01.PQU351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:53,
1999-01,2.022,
1999-04,1.940,
1999-07,1.920,
1999-10,1.946,
2000-01,1.698,
2000-04,1.747,
2000-07,1.746,
2000-10,1.486,
2001-01,1.464,
2001-04,1.550,
2001-07,1.571,
2001-10,1.606,
2002-01,1.475,
2002-04,1.540,
2002-07,1.564,
2002-10,1.531,
2003-01,1.404,
2003-04,1.359,
2003-07,1.488,
2003-10,1.542,
2004-01,1.419,
2004-04,1.465,
2004-07,1.475,
2004-10,1.488,
2005-01,1.346,
2005-04,1.374,
2005-07,1.363,
2005-10,1.347,
2006-01,1.296,
2006-04,1.298,
2006-07,1.326,
2006-10,1.596,
2007-01,1.643,
2007-04,1.687,
2007-07,1.841,
2007-10,1.532,
2008-01,1.502,
2008-04,1.369,
2008-07,1.445,
2008-10,1.455,
2009-01,1.363,
2009-04,1.447,
2009-07,1.504,
2009-10,1.494,
2010-01,1.438,
2010-04,1.653,
2010-07,1.668,
2010-10,1.602,
2011-01,1.548,
2011-04,1.569,
2011-07,1.618,
2011-10,1.622,
2012-01,1.610,
2012-04,1.593,
2012-07,1.574,
2012-10,1.567,
2013-01,1.556,
2013-04,1.554,
2013-07,1.566,
2013-10,1.557,
2014-01,1.544,
2014-04,1.575,
2014-07,1.658,
2014-10,1.564,
