"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D2.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D2.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment in direct investors (reverse investment) - Debt instruments (FDI) - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:56,
1999-10,32897,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,53591,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,71984,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,103545,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,105272,
2004-01,106565,
2004-04,110269,
2004-07,106736,
2004-10,102236,
2005-01,103097,
2005-04,101974,
2005-07,93237,
2005-10,118497,
2006-01,121329,
2006-04,125307,
2006-07,139229,
2006-10,124123,
2007-01,129655,
2007-04,126426,
2007-07,123211,
2007-10,133597,
2008-01,126653,
2008-04,131597,
2008-07,141778,
2008-10,121800,
2009-01,136759,
2009-04,142759,
2009-07,139608,
2009-10,140442,
2010-01,141377,
2010-04,133666,
2010-07,146739,
2010-10,155649,
2011-01,163547,
2011-04,173681,
2011-07,179124,
2011-10,168332,
2012-01,176709,
2012-04,177781,
2012-07,182953,
2012-10,273944,
2013-01,276372,
2013-04,285813,
2013-07,276966,
2013-10,273242,
2014-01,293734,
2014-04,298554,
2014-07,296375,
