"",BBK01.OEBJ03Q,BBK01.OEBJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:20,
2002-01,0.753,
2002-04,0.702,
2002-07,0.716,
2002-10,0.765,
2003-01,0.711,
2003-04,0.674,
2003-07,0.724,
2003-10,0.700,
2004-01,0.684,
2004-04,0.703,
2004-07,0.673,
2004-10,0.722,
2005-01,0.654,
2005-04,0.582,
2005-07,0.688,
2005-10,0.808,
2006-01,0.699,
2006-04,0.727,
2006-07,0.755,
2006-10,0.810,
2007-01,0.757,
2007-04,0.802,
2007-07,0.728,
2007-10,0.880,
2008-01,0.897,
2008-04,0.891,
2008-07,0.839,
2008-10,0.792,
2009-01,0.881,
2009-04,0.946,
2009-07,0.966,
2009-10,0.904,
2010-01,0.868,
2010-04,0.827,
2010-07,0.830,
2010-10,0.785,
2011-01,0.711,
2011-04,0.666,
2011-07,0.658,
2011-10,0.728,
2012-01,0.747,
2012-04,0.692,
2012-07,0.792,
2012-10,0.734,
2013-01,0.648,
2013-04,0.613,
2013-07,0.551,
2013-10,0.531,
2014-01,0.639,
2014-04,0.613,
2014-07,0.510,
