"",BBK01.OEAC20M,BBK01.OEAC20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:48,
2002-01,6.771,
2002-04,6.662,
2002-07,6.359,
2002-10,6.284,
2003-01,6.385,
2003-04,6.442,
2003-07,6.178,
2003-10,6.216,
2004-01,6.363,
2004-04,6.372,
2004-07,6.191,
2004-10,6.332,
2005-01,6.507,
2005-04,6.250,
2005-07,6.200,
2005-10,6.039,
2006-01,6.279,
2006-04,6.151,
2006-07,6.193,
2006-10,6.225,
2007-01,6.455,
2007-04,6.704,
2007-07,6.661,
2007-10,7.029,
2008-01,6.923,
2008-04,7.034,
2008-07,7.013,
2008-10,7.233,
2009-01,7.044,
2009-04,6.788,
2009-07,6.153,
2009-10,5.850,
2010-01,4.718,
2010-04,4.225,
2010-07,4.380,
2010-10,5.540,
2011-01,5.706,
2011-04,5.738,
2011-07,5.751,
2011-10,5.548,
2012-01,5.709,
2012-04,5.687,
2012-07,5.721,
2012-10,5.544,
2013-01,5.327,
2013-04,4.938,
2013-07,4.849,
2013-10,4.913,
2014-01,4.807,
2014-04,4.860,
2014-07,4.961,
