"",BBK01.OEYI04T,BBK01.OEYI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:59,
2002-01,0.019,
2002-04,0.026,
2002-07,0.015,
2002-10,0.030,
2003-01,0.009,
2003-04,0.013,
2003-07,0.013,
2003-10,0.023,
2004-01,0.019,
2004-04,0.018,
2004-07,0.023,
2004-10,0.023,
2005-01,0.013,
2005-04,0.014,
2005-07,0.142,
2005-10,0.042,
2006-01,0.048,
2006-04,0.048,
2006-07,0.063,
2006-10,0.014,
2007-01,0.016,
2007-04,0.043,
2007-07,0.051,
2007-10,0.067,
2008-01,0.137,
2008-04,0.334,
2008-07,0.132,
2008-10,0.202,
2009-01,0.088,
2009-04,0.032,
2009-07,0.039,
2009-10,0.014,
2010-01,0.094,
2010-04,0.007,
2010-07,0.007,
2010-10,0.002,
2011-01,0.015,
2011-04,0.019,
2011-07,0.076,
2011-10,0.015,
2012-01,0.304,
2012-04,0.025,
2012-07,0.276,
2012-10,0.239,
2013-01,0.070,
2013-04,0.034,
2013-07,0.024,
2013-10,0.044,
2014-01,0.055,
2014-04,0.047,
2014-07,0.048,
