"",BBK01.OEAB17M,BBK01.OEAB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:21,
2002-01,93.861,
2002-04,94.648,
2002-07,96.770,
2002-10,97.717,
2003-01,99.255,
2003-04,100.701,
2003-07,102.668,
2003-10,102.380,
2004-01,102.483,
2004-04,102.916,
2004-07,102.056,
2004-10,102.169,
2005-01,106.965,
2005-04,108.009,
2005-07,109.399,
2005-10,110.329,
2006-01,110.391,
2006-04,112.981,
2006-07,113.687,
2006-10,113.520,
2007-01,115.609,
2007-04,112.766,
2007-07,113.132,
2007-10,112.777,
2008-01,111.419,
2008-04,111.713,
2008-07,110.929,
2008-10,110.692,
2009-01,110.712,
2009-04,112.728,
2009-07,113.711,
2009-10,113.594,
2010-01,113.246,
2010-04,113.272,
2010-07,113.898,
2010-10,114.055,
2011-01,113.403,
2011-04,113.255,
2011-07,113.080,
2011-10,113.086,
2012-01,112.833,
2012-04,113.721,
2012-07,114.303,
2012-10,114.651,
2013-01,113.771,
2013-04,114.433,
2013-07,114.927,
2013-10,115.329,
2014-01,115.334,
2014-04,115.116,
2014-07,116.014,
