"",BBK01.OEYL02J,BBK01.OEYL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:01,
2002-01,0.142,
2002-04,0.144,
2002-07,0.142,
2002-10,0.154,
2003-01,0.152,
2003-04,0.167,
2003-07,0.169,
2003-10,0.179,
2004-01,0.186,
2004-04,0.189,
2004-07,0.196,
2004-10,0.239,
2005-01,0.241,
2005-04,0.255,
2005-07,0.270,
2005-10,0.270,
2006-01,0.267,
2006-04,0.255,
2006-07,0.239,
2006-10,0.231,
2007-01,0.262,
2007-04,0.288,
2007-07,0.264,
2007-10,0.249,
2008-01,0.220,
2008-04,0.223,
2008-07,0.200,
2008-10,0.206,
2009-01,0.253,
2009-04,0.266,
2009-07,0.311,
2009-10,0.344,
2010-01,0.369,
2010-04,0.464,
2010-07,0.439,
2010-10,0.414,
2011-01,0.411,
2011-04,0.373,
2011-07,0.369,
2011-10,0.378,
2012-01,0.383,
2012-04,0.422,
2012-07,0.440,
2012-10,0.440,
2013-01,0.445,
2013-04,0.461,
2013-07,0.472,
2013-10,0.444,
2014-01,0.447,
2014-04,0.467,
2014-07,0.446,
