"",BBK01.OECM01I,BBK01.OECM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:22,
2002-01,0.283,
2002-04,0.367,
2002-07,0.219,
2002-10,0.333,
2003-01,1.032,
2003-04,0.941,
2003-07,0.756,
2003-10,0.565,
2004-01,0.638,
2004-04,0.395,
2004-07,0.291,
2004-10,0.159,
2005-01,0.493,
2005-04,0.342,
2005-07,0.176,
2005-10,0.410,
2006-01,0.681,
2006-04,1.726,
2006-07,1.498,
2006-10,0.892,
2007-01,0.994,
2007-04,1.245,
2007-07,1.356,
2007-10,1.992,
2008-01,1.455,
2008-04,1.604,
2008-07,1.209,
2008-10,1.853,
2009-01,2.357,
2009-04,2.524,
2009-07,2.472,
2009-10,1.245,
2010-01,2.768,
2010-04,2.348,
2010-07,1.618,
2010-10,0.446,
2011-01,1.703,
2011-04,1.548,
2011-07,1.926,
2011-10,3.140,
2012-01,2.274,
2012-04,2.815,
2012-07,1.616,
2012-10,0.643,
2013-01,1.677,
2013-04,3.776,
2013-07,2.702,
2013-10,0.757,
2014-01,1.734,
2014-04,2.300,
2014-07,1.758,
