"",BBK01.OECB09I,BBK01.OECB09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:01,
2002-01,4.274,
2002-04,4.002,
2002-07,3.865,
2002-10,3.927,
2003-01,3.315,
2003-04,3.341,
2003-07,3.355,
2003-10,3.141,
2004-01,2.918,
2004-04,2.831,
2004-07,2.714,
2004-10,2.481,
2005-01,2.814,
2005-04,2.807,
2005-07,2.704,
2005-10,2.642,
2006-01,2.736,
2006-04,2.505,
2006-07,3.081,
2006-10,2.625,
2007-01,2.535,
2007-04,2.645,
2007-07,2.726,
2007-10,3.037,
2008-01,2.723,
2008-04,3.141,
2008-07,3.316,
2008-10,3.027,
2009-01,3.041,
2009-04,3.001,
2009-07,2.961,
2009-10,2.802,
2010-01,2.833,
2010-04,2.896,
2010-07,4.314,
2010-10,4.149,
2011-01,4.200,
2011-04,4.052,
2011-07,4.073,
2011-10,4.125,
2012-01,4.076,
2012-04,4.277,
2012-07,4.490,
2012-10,4.347,
2013-01,4.314,
2013-04,5.122,
2013-07,5.597,
2013-10,5.641,
2014-01,5.294,
2014-04,5.556,
2014-07,4.932,
