"",BBK01.OEAL05U,BBK01.OEAL05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:26,
2002-01,0.063,
2002-04,0.068,
2002-07,0.067,
2002-10,0.073,
2003-01,0.072,
2003-04,0.075,
2003-07,0.070,
2003-10,0.070,
2004-01,0.073,
2004-04,0.074,
2004-07,0.081,
2004-10,0.084,
2005-01,0.134,
2005-04,0.128,
2005-07,0.126,
2005-10,0.135,
2006-01,0.139,
2006-04,0.139,
2006-07,0.141,
2006-10,0.145,
2007-01,0.157,
2007-04,0.153,
2007-07,0.155,
2007-10,0.156,
2008-01,0.153,
2008-04,0.153,
2008-07,0.176,
2008-10,0.165,
2009-01,0.133,
2009-04,0.141,
2009-07,0.162,
2009-10,0.170,
2010-01,0.169,
2010-04,0.175,
2010-07,0.173,
2010-10,0.178,
2011-01,0.189,
2011-04,0.171,
2011-07,0.162,
2011-10,0.167,
2012-01,0.163,
2012-04,0.164,
2012-07,0.143,
2012-10,0.133,
2013-01,0.121,
2013-04,0.125,
2013-07,0.123,
2013-10,0.141,
2014-01,0.137,
2014-04,0.130,
2014-07,0.130,
