"",BBK01.QUA500,BBK01.QUA500_FLAGS
"","Foreign branches: Claims on non-residents, total / Slovakia / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:03,
2005-12,0.541,
2006-01,0.546,
2006-02,0.589,
2006-03,0.377,
2006-04,0.396,
2006-05,0.426,
2006-06,0.382,
2006-07,0.331,
2006-08,0.374,
2006-09,0.310,
2006-10,0.354,
2006-11,0.333,
2006-12,0.349,
2007-01,0.341,
2007-02,0.451,
2007-03,0.374,
2007-04,0.458,
2007-05,0.404,
2007-06,0.397,
2007-07,0.401,
2007-08,0.428,
2007-09,0.410,
2007-10,0.452,
2007-11,0.474,
2007-12,0.580,
2008-01,0.469,
2008-02,0.479,
2008-03,0.393,
2008-04,0.370,
2008-05,0.470,
2008-06,0.491,
2008-07,0.533,
2008-08,0.665,
2008-09,0.607,
2008-10,0.581,
2008-11,0.794,
2008-12,0.393,
2009-01,0.304,
2009-02,0.525,
2009-03,0.394,
2009-04,0.374,
2009-05,0.319,
2009-06,0.384,
2009-07,0.378,
2009-08,0.374,
2009-09,0.390,
2009-10,0.349,
2009-11,0.363,
2009-12,0.364,
2010-01,0.364,
2010-02,0.371,
2010-03,0.272,
2010-04,0.300,
2010-05,0.324,
2010-06,0.338,
2010-07,0.327,
2010-08,0.334,
2010-09,0.323,
2010-10,0.320,
2010-11,0.318,
2010-12,0.319,
2011-01,0.294,
2011-02,0.241,
2011-03,0.221,
2011-04,0.288,
2011-05,0.290,
2011-06,0.344,
2011-07,0.322,
2011-08,0.328,
2011-09,0.251,
2011-10,0.246,
2011-11,0.439,
2011-12,0.446,
2012-01,0.428,
2012-02,0.413,
2012-03,0.453,
2012-04,0.388,
2012-05,0.391,
2012-06,0.406,
2012-07,0.497,
2012-08,0.364,
2012-09,0.347,
2012-10,0.364,
2012-11,0.334,
2012-12,0.318,
2013-01,0.321,
2013-02,0.315,
2013-03,0.324,
2013-04,0.300,
2013-05,0.286,
2013-06,0.386,
2013-07,0.312,
2013-08,0.322,
2013-09,0.274,
2013-10,0.274,
2013-11,0.254,
2013-12,0.243,
2014-01,0.267,
2014-02,0.268,
2014-03,0.278,
2014-04,0.332,
2014-05,0.257,
2014-06,0.278,
2014-07,0.303,
2014-08,0.285,
2014-09,0.267,
2014-10,0.268,
2014-11,0.270,
