"",BBSF2.M.1.P.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
2000-06,2117,
2000-07,3197,
2000-08,3201,
2000-09,1267,
2000-10,2958,
2000-11,3302,
2000-12,1413,
2001-01,5860,
2001-02,5236,
2001-03,974,
2001-04,2719,
2001-05,1146,
2001-06,1741,
2001-07,2402,
2001-08,2273,
2001-09,-220,
2001-10,3667,
2001-11,5389,
2001-12,4335,
2002-01,7069,
2002-02,3993,
2002-03,2592,
2002-04,1218,
2002-05,2854,
2002-06,502,
2002-07,1782,
2002-08,2507,
2002-09,360,
2002-10,740,
2002-11,2402,
2002-12,-112,
2003-01,4782,
2003-02,3439,
2003-03,2696,
2003-04,2275,
2003-05,1845,
2003-06,2851,
2003-07,1120,
2003-08,1809,
2003-09,-292,
2003-10,-8,
2003-11,-315,
2003-12,-122,
2004-01,423,
2004-02,-118,
2004-03,2530,
2004-04,282,
2004-05,-663,
2004-06,-886,
2004-07,3550,
2004-08,138,
2004-09,-2687,
2004-10,-1719,
2004-11,-1433,
2004-12,-3395,
2005-01,873,
2005-02,-2317,
2005-03,1805,
2005-04,1463,
2005-05,135,
2005-06,1635,
2005-07,4009,
2005-08,1717,
2005-09,454,
2005-10,-2036,
2005-11,886,
2005-12,-2225,
2006-01,-5031,
2006-02,784,
2006-03,-2019,
2006-04,-1570,
2006-05,297,
2006-06,-876,
2006-07,-601,
2006-08,-1930,
2006-09,-1395,
2006-10,-861,
2006-11,-1399,
2006-12,344,
2007-01,3,
2007-02,1036,
2007-03,-1008,
2007-04,223,
2007-05,265,
2007-06,-1143,
2007-07,290,
2007-08,-5332,
2007-09,-1900,
2007-10,-1364,
2007-11,1384,
2007-12,-325,
2008-01,-1054,
2008-02,1036,
2008-03,-1373,
2008-04,3978,
2008-05,2164,
2008-06,-4967,
2008-07,-346,
2008-08,-563,
2008-09,-1995,
2008-10,-15209,
2008-11,-1150,
2008-12,5070,
2009-01,5750,
2009-02,-1362,
2009-03,-2579,
2009-04,2217,
2009-05,2455,
2009-06,400,
2009-07,778,
2009-08,-165,
2009-09,272,
2009-10,-150,
2009-11,2331,
2009-12,1020,
2010-01,2704,
2010-02,2857,
2010-03,1460,
2010-04,983,
2010-05,4938,
2010-06,-5277,
2010-07,1724,
2010-08,1111,
2010-09,167,
2010-10,-238,
2010-11,2106,
2010-12,845,
2011-01,1640,
2011-02,454,
2011-03,-1478,
2011-04,-208,
2011-05,1185,
2011-06,-469,
2011-07,2803,
2011-08,-2453,
2011-09,-138,
2011-10,342,
2011-11,-1011,
2011-12,-2006,
2012-01,723,
2012-02,-582,
2012-03,-668,
2012-04,-3367,
2012-05,3420,
2012-06,-429,
2012-07,1132,
2012-08,-906,
2012-09,-258,
2012-10,370,
2012-11,2025,
2012-12,624,
2013-01,1355,
2013-02,2933,
2013-03,676,
2013-04,524,
2013-05,499,
2013-06,497,
2013-07,3863,
2013-08,-1122,
2013-09,498,
2013-10,1824,
2013-11,-2882,
2013-12,520,
2014-01,750,
2014-02,2163,
2014-03,-173,
2014-04,192,
2014-05,1519,
2014-06,766,
2014-07,1430,
2014-08,2328,
2014-09,-3343,
2014-10,-1264,
2014-11,-290,
2014-12,100,Provisional value
