"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:45,
2009-09,463516,
2009-10,465529,
2009-11,471469,
2009-12,475447,
2010-01,485937,
2010-02,489512,
2010-03,496779,
2010-04,495065,
2010-05,498654,
2010-06,499759,
2010-07,502301,
2010-08,518358,
2010-09,516585,
2010-10,520395,
2010-11,514137,
2010-12,510049,
2011-01,504940,
2011-02,509718,
2011-03,508897,
2011-04,507927,
2011-05,513840,
2011-06,511608,
2011-07,517838,
2011-08,520719,
2011-09,519951,
2011-10,520627,
2011-11,512635,
2011-12,528582,
2012-01,533902,
2012-02,546833,
2012-03,552961,
2012-04,556913,
2012-05,567652,
2012-06,566705,
2012-07,582431,
2012-08,587243,
2012-09,589416,
2012-10,593546,
2012-11,601609,
2012-12,607020,
2013-01,601251,
2013-02,610672,
2013-03,618219,
2013-04,629526,
2013-05,625667,
2013-06,614387,
2013-07,620928,
2013-08,620303,
2013-09,623741,
2013-10,626124,
2013-11,632687,
2013-12,628535,
2014-01,641573,
2014-02,646576,
2014-03,659219,
2014-04,662328,
2014-05,675608,
2014-06,682417,
2014-07,689644,
2014-08,702234,
2014-09,707522,
2014-10,713339,
2014-11,723426,
