"",BBK01.OELL08S,BBK01.OELL08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:30,
2002-01,1.623,
2002-04,1.607,
2002-07,1.625,
2002-10,1.714,
2003-01,1.756,
2003-04,1.738,
2003-07,1.751,
2003-10,1.796,
2004-01,1.810,
2004-04,1.791,
2004-07,1.774,
2004-10,1.773,
2005-01,1.745,
2005-04,1.730,
2005-07,1.730,
2005-10,1.765,
2006-01,1.766,
2006-04,1.717,
2006-07,1.692,
2006-10,1.679,
2007-01,1.624,
2007-04,1.597,
2007-07,1.587,
2007-10,1.621,
2008-01,1.611,
2008-04,1.573,
2008-07,1.557,
2008-10,1.587,
2009-01,1.599,
2009-04,1.582,
2009-07,1.600,
2009-10,1.629,
2010-01,1.635,
2010-04,1.637,
2010-07,1.651,
2010-10,1.696,
2011-01,1.712,
2011-04,1.705,
2011-07,1.701,
2011-10,1.742,
2012-01,1.711,
2012-04,1.699,
2012-07,1.702,
2012-10,1.735,
2013-01,1.747,
2013-04,1.743,
2013-07,1.745,
2013-10,1.773,
2014-01,1.782,
2014-04,1.772,
2014-07,1.767,
