"",BBEX3.M.PEN.USD.CA.AB.A01,BBEX3.M.PEN.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Peru / USD 1 = PEI / PEN ... (selling) *,
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:04,
1991-01,0.570,
1991-02,0.560,
1991-03,0.568,
1991-04,0.710,
1991-05,0.830,
1991-06,0.850,
1991-07,0.815,
1991-08,0.780,
1991-09,0.840,
1991-10,0.965,
1991-11,1.035,
1991-12,0.975,
1992-01,0.990,
1992-02,0.975,
1992-03,0.965,
1992-04,1.070,
1992-05,1.150,
1992-06,1.200,
1992-07,1.250,
1992-08,1.305,
1992-09,1.490,
1992-10,1.595,
1992-11,1.620,
1992-12,1.640,
1993-01,1.710,
1993-02,1.800,
1993-03,1.870,
1993-04,1.955,
1993-05,1.980,
1993-06,2.035,
1993-07,2.045,
1993-08,2.100,
1993-09,2.145,
1993-10,2.165,
1993-11,2.185,
1993-12,2.160,
1994-01,2.180,
1994-02,2.175,
1994-03,2.190,
1994-04,2.190,
1994-05,2.190,
1994-06,2.198,
1994-07,2.205,
1994-08,2.255,
1994-09,2.255,
1994-10,2.235,
1994-11,2.178,
1994-12,2.200,
1995-01,2.200,
1995-02,2.255,
1995-03,2.275,
1995-04,2.255,
1995-05,2.260,
1995-06,2.248,
1995-07,2.245,
1995-08,2.255,
1995-09,2.258,
1995-10,2.278,
1995-11,2.340,
1995-12,2.335,
1996-01,2.375,
1996-02,2.375,
1996-03,2.375,
1996-04,2.385,
1996-05,2.430,
1996-06,2.465,
1996-07,2.475,
1996-08,2.485,
1996-09,2.530,
1996-10,2.585,
1996-11,2.605,
1996-12,2.610,
1997-01,2.650,
1997-02,2.670,
1997-03,2.670,
1997-04,2.690,
1997-05,2.695,
1997-06,2.680,
1997-07,2.690,
1997-08,2.680,
1997-09,2.660,
1997-10,2.760,
1997-11,2.770,
1997-12,2.765,
1998-01,2.810,
1998-02,2.850,
1998-03,2.840,
1998-04,2.860,
1998-05,2.900,
1998-06,2.980,
1998-07,2.970,
1998-08,3.050,
1998-09,3.090,
1998-10,3.110,
1998-11,3.165,
1998-12,3.195,
1999-01,3.400,
1999-02,3.480,
1999-03,3.375,
1999-04,3.385,
1999-05,3.375,
1999-06,3.385,
1999-07,3.370,
1999-08,3.430,
1999-09,3.510,
1999-10,3.535,
1999-11,3.540,
1999-12,3.555,
2000-01,3.535,
2000-02,3.495,
2000-03,3.535,
2000-04,3.530,
2000-05,3.550,
2000-06,3.535,
2000-07,3.520,
2000-08,3.525,
2000-09,3.560,
2000-10,3.555,
2000-11,3.580,
2000-12,3.570,
2001-01,3.580,
2001-02,3.570,
2001-03,3.570,
2001-04,3.635,
2001-05,3.680,
2001-06,3.555,
2001-07,3.540,
2001-08,3.535,
2001-09,3.535,
2001-10,3.490,
2001-11,3.485,
2001-12,3.490,
2002-01,3.525,
2002-02,3.520,
2002-03,3.500,
2002-04,3.485,
2002-05,3.510,
2002-06,3.560,
2002-07,3.625,
2002-08,3.655,
2002-09,3.700,
2002-10,3.650,
2002-11,3.560,
2002-12,3.565,
2003-01,3.535,
2003-02,3.530,
2003-03,3.475,
2003-04,3.463,
2003-05,3.496,
2003-06,3.472,
2003-07,3.473,
2003-08,3.481,
2003-09,3.483,
2003-10,3.473,
2003-11,3.481,
2003-12,3.464,
2004-01,3.500,
2004-02,3.473,
2004-03,3.461,
2004-04,3.484,
2004-05,3.489,
2004-06,3.472,
2004-07,3.422,
2004-08,3.358,
2004-09,3.342,
2004-10,3.325,
2004-11,3.306,
2004-12,3.283,
2005-01,3.264,
2005-02,3.259,
2005-03,3.263,
2005-04,3.258,
2005-05,3.255,
2005-06,3.254,
2005-07,3.255,
2005-08,3.286,
2005-09,3.345,
2005-10,3.380,
2005-11,3.412,
2005-12,3.431,
2006-01,3.314,
2006-02,3.293,
2006-03,3.358,
2006-04,3.312,
2006-05,3.298,
2006-06,3.260,
2006-07,3.242,
2006-08,3.241,
2006-09,3.250,
2006-10,3.216,
2006-11,3.223,
2006-12,3.197,
2007-01,3.199,
2007-02,3.190,
2007-03,3.184,
2007-04,3.172,
2007-05,3.175,
2007-06,3.169,
2007-07,3.161,
2007-08,3.163,
2007-09,3.087,
2007-10,2.998,
2007-11,3.000,
2007-12,2.997,
2008-01,2.934,
2008-02,2.887,
2008-03,2.746,
2008-04,2.851,
2008-05,2.845,
2008-06,2.967,
2008-07,2.816,
