"",BBK01.OEAC32H,BBK01.OEAC32H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:58,
2002-01,3.056,
2002-04,3.124,
2002-07,3.070,
2002-10,2.979,
2003-01,3.024,
2003-04,3.001,
2003-07,3.031,
2003-10,3.021,
2004-01,2.906,
2004-04,2.889,
2004-07,2.866,
2004-10,2.661,
2005-01,2.562,
2005-04,2.460,
2005-07,2.488,
2005-10,2.306,
2006-01,2.289,
2006-04,2.612,
2006-07,2.851,
2006-10,2.784,
2007-01,2.898,
2007-04,2.786,
2007-07,3.085,
2007-10,2.679,
2008-01,3.072,
2008-04,3.311,
2008-07,3.350,
2008-10,4.439,
2009-01,4.501,
2009-04,5.719,
2009-07,5.781,
2009-10,6.131,
2010-01,5.665,
2010-04,5.641,
2010-07,5.545,
2010-10,4.566,
2011-01,5.436,
2011-04,4.949,
2011-07,5.638,
2011-10,5.999,
2012-01,4.832,
2012-04,4.849,
2012-07,4.710,
2012-10,5.196,
2013-01,5.432,
2013-04,5.109,
2013-07,5.036,
2013-10,5.012,
2014-01,4.714,
2014-04,4.803,
2014-07,4.783,
