"",BBK01.TVD451,BBK01.TVD451_FLAGS
"",Other liabilities / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:28,
1980-01,0,
1980-02,-3232,
1980-03,2062,
1980-04,-373,
1980-05,404,
1980-06,4247,
1980-07,1458,
1980-08,-661,
1980-09,3814,
1980-10,49,
1980-11,2679,
1980-12,-10153,
1981-01,763,
1981-02,-252,
1981-03,2567,
1981-04,-648,
1981-05,1460,
1981-06,4824,
1981-07,-767,
1981-08,1576,
1981-09,3978,
1981-10,546,
1981-11,2406,
1981-12,-9509,
1982-01,1651,
1982-02,-827,
1982-03,1514,
1982-04,-746,
1982-05,476,
1982-06,4960,
1982-07,-277,
1982-08,1367,
1982-09,5301,
1982-10,898,
1982-11,1473,
1982-12,-11153,
1983-01,2632,
1983-02,-1198,
1983-03,1240,
1983-04,-1546,
1983-05,1555,
1983-06,5209,
1983-07,619,
1983-08,-413,
1983-09,4148,
1983-10,1484,
1983-11,707,
1983-12,-8273,
1984-01,1253,
1984-02,-1613,
1984-03,964,
1984-04,-794,
1984-05,-469,
1984-06,4037,
1984-07,1454,
1984-08,-865,
1984-09,6450,
1984-10,49,
1984-11,111,
1984-12,-6657,
1985-01,755,
1985-02,-74,
1985-03,2077,
1985-04,-2393,
1985-05,-816,
1985-06,7508,
1985-07,159,
1985-08,-1803,
1985-09,6874,
1985-10,276,
1985-11,139,
1985-12,-6575,
1986-01,-460,
1986-02,915,
1986-03,3176,
1986-04,-2799,
1986-05,-594,
1986-06,6238,
1986-07,35,
1986-08,940,
1986-09,4904,
1986-10,-465,
1986-11,2093,
1986-12,-10084,
1987-01,482,
1987-02,-1376,
1987-03,2072,
1987-04,-1359,
1987-05,1855,
1987-06,4655,
1987-07,-1547,
1987-08,1310,
1987-09,4954,
1987-10,1575,
1987-11,217,
1987-12,-10263,
1988-01,1507,
1988-02,-1245,
1988-03,-184,
1988-04,-373,
1988-05,539,
1988-06,5108,
1988-07,909,
1988-08,-1194,
1988-09,3765,
1988-10,3232,
1988-11,-106,
1988-12,-7888,
1989-01,634,
1989-02,-1574,
1989-03,105,
1989-04,1369,
1989-05,-1530,
1989-06,6312,
1989-07,348,
1989-08,-138,
1989-09,5403,
1989-10,1475,
1989-11,285,
1989-12,-7628,
1990-01,969,
1990-02,-155,
1990-03,2339,
1990-04,-109,
1990-05,-818,
1990-06,4349,
1990-07,5892,
1990-08,-874,
1990-09,8922,
1990-10,-582,
1990-11,1548,
1990-12,-3490,
1991-01,-3027,
1991-02,-1922,
1991-03,7390,
1991-04,536,
1991-05,1299,
1991-06,6659,
1991-07,5792,
1991-08,-5153,
1991-09,6373,
1991-10,4564,
1991-11,-1559,
1991-12,-6917,
1992-01,2104,
1992-02,-4909,
1992-03,6139,
1992-04,918,
1992-05,-1569,
1992-06,6842,
1992-07,-47,
1992-08,1312,
1992-09,6417,
1992-10,5303,
1992-11,940,
1992-12,-6541,
1993-01,2826,
1993-02,-3100,
1993-03,2269,
1993-04,2897,
1993-05,-3340,
1993-06,8931,
1993-07,2818,
1993-08,2492,
1993-09,7176,
1993-10,363,
1993-11,98,
1993-12,2948,
1994-01,-2728,
1994-02,-4324,
1994-03,-496,
1994-04,-2937,
1994-05,-3848,
1994-06,5639,
1994-07,3286,
1994-08,-3995,
1994-09,10388,
1994-10,2976,
1994-11,114,
1994-12,-1620,
1995-01,4400,
1995-02,6577,
1995-03,614,
1995-04,639,
1995-05,-10208,
1995-06,5281,
1995-07,7948,
1995-08,-768,
1995-09,6997,
1995-10,4045,
1995-11,2458,
1995-12,-9588,
1996-01,1535,
1996-02,-3644,
1996-03,10261,
1996-04,1135,
1996-05,-1174,
1996-06,9815,
1996-07,1374,
1996-08,3418,
1996-09,11085,
1996-10,623,
1996-11,4298,
1996-12,-14276,
1997-01,2228,
1997-02,2916,
1997-03,8989,
1997-04,-2393,
1997-05,-5653,
1997-06,11473,
1997-07,11130,
1997-08,1608,
1997-09,14544,
1997-10,1054,
1997-11,119,
1997-12,-9395,
1998-01,8633,
1998-02,-5465,
1998-03,9016,
1998-04,10003,
1998-05,4690,
1998-06,17397,
1998-07,-4158,
1998-08,9806,
1998-09,1991,
1998-10,2265,
1998-11,-8731,
1998-12,-11358,
1999-01,5597,
1999-02,-26231,
1999-03,20011,
1999-04,-6688,
1999-05,-11613,
1999-06,7418,
1999-07,1618,
1999-08,4089,
1999-09,6680,
1999-10,7422,
1999-11,-788,
1999-12,-1322,
2000-01,-946,
