"",BBK01.OEHK06G,BBK01.OEHK06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:56,
2002-01,0.256,
2002-04,0.254,
2002-07,0.256,
2002-10,0.261,
2003-01,0.256,
2003-04,0.245,
2003-07,0.234,
2003-10,0.231,
2004-01,0.220,
2004-04,0.210,
2004-07,0.204,
2004-10,0.210,
2005-01,0.201,
2005-04,0.200,
2005-07,0.191,
2005-10,0.202,
2006-01,0.209,
2006-04,0.210,
2006-07,0.216,
2006-10,0.231,
2007-01,0.242,
2007-04,0.254,
2007-07,0.281,
2007-10,0.313,
2008-01,0.337,
2008-04,0.373,
2008-07,0.414,
2008-10,0.479,
2009-01,0.468,
2009-04,0.392,
2009-07,0.330,
2009-10,0.312,
2010-01,0.279,
2010-04,0.264,
2010-07,0.258,
2010-10,0.272,
2011-01,0.288,
2011-04,0.303,
2011-07,0.320,
2011-10,0.354,
2012-01,0.353,
2012-04,0.333,
2012-07,0.310,
2012-10,0.289,
2013-01,0.262,
2013-04,0.249,
2013-07,0.229,
2013-10,0.224,
2014-01,0.206,
2014-04,0.192,
2014-07,0.176,
