"",BBK01.OEBB21K,BBK01.OEBB21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:15,
2002-01,0.731,
2002-04,0.631,
2002-07,0.117,
2002-10,0.145,
2003-01,0.178,
2003-04,0.192,
2003-07,0.164,
2003-10,0.606,
2004-01,0.291,
2004-04,0.304,
2004-07,0.266,
2004-10,0.274,
2005-01,0.430,
2005-04,0.479,
2005-07,0.455,
2005-10,0.303,
2006-01,0.344,
2006-04,0.281,
2006-07,0.371,
2006-10,0.247,
2007-01,0.213,
2007-04,0.183,
2007-07,0.246,
2007-10,0.320,
2008-01,0.211,
2008-04,0.315,
2008-07,0.196,
2008-10,0.782,
2009-01,1.691,
2009-04,1.569,
2009-07,1.919,
2009-10,2.031,
2010-01,2.183,
2010-04,2.401,
2010-07,0.525,
2010-10,0.698,
2011-01,0.226,
2011-04,0.218,
2011-07,0.270,
2011-10,0.276,
2012-01,0.289,
2012-04,0.335,
2012-07,0.370,
2012-10,0.974,
2013-01,1.005,
2013-04,0.398,
2013-07,0.601,
2013-10,0.491,
2014-01,0.625,
2014-04,0.689,
2014-07,0.702,
