"",BBK01.OECB21O,BBK01.OECB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:06,
2002-01,0.241,
2002-04,0.241,
2002-07,0.224,
2002-10,0.255,
2003-01,0.231,
2003-04,0.216,
2003-07,0.221,
2003-10,0.232,
2004-01,0.241,
2004-04,0.251,
2004-07,0.227,
2004-10,0.249,
2005-01,0.597,
2005-04,0.596,
2005-07,0.528,
2005-10,0.534,
2006-01,0.462,
2006-04,0.448,
2006-07,0.605,
2006-10,0.606,
2007-01,0.614,
2007-04,0.589,
2007-07,0.479,
2007-10,0.495,
2008-01,0.512,
2008-04,0.440,
2008-07,0.432,
2008-10,0.418,
2009-01,0.476,
2009-04,0.486,
2009-07,0.510,
2009-10,0.413,
2010-01,0.421,
2010-04,0.396,
2010-07,0.389,
2010-10,0.393,
2011-01,0.420,
2011-04,0.495,
2011-07,0.400,
2011-10,0.393,
2012-01,0.284,
2012-04,0.226,
2012-07,0.282,
2012-10,0.197,
2013-01,0.258,
2013-04,0.259,
2013-07,0.227,
2013-10,0.202,
2014-01,0.205,
2014-04,0.207,
2014-07,0.190,
