"",BBDE1.M.DE.Y.BAA1.N2C140000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C140000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 14 Manufacture of wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:49,
1991-01,700.2,
1991-02,693.6,
1991-03,727.7,
1991-04,788.0,
1991-05,677.6,
1991-06,734.0,
1991-07,655.7,
1991-08,611.3,
1991-09,664.1,
1991-10,703.8,
1991-11,680.1,
1991-12,659.1,
1992-01,630.9,
1992-02,636.4,
1992-03,633.4,
1992-04,642.9,
1992-05,635.8,
1992-06,572.3,
1992-07,539.4,
1992-08,572.5,
1992-09,605.2,
1992-10,598.7,
1992-11,579.4,
1992-12,550.6,
1993-01,568.8,
1993-02,547.2,
1993-03,552.8,
1993-04,549.6,
1993-05,553.1,
1993-06,515.5,
1993-07,489.7,
1993-08,512.3,
1993-09,528.5,
1993-10,521.2,
1993-11,502.5,
1993-12,503.1,
1994-01,500.8,
1994-02,484.6,
1994-03,482.2,
1994-04,476.5,
1994-05,445.3,
1994-06,447.1,
1994-07,429.9,
1994-08,449.2,
1994-09,419.3,
1994-10,420.6,
1994-11,419.1,
1994-12,426.0,
1995-01,451.2,
1995-02,435.2,
1995-03,420.8,
1995-04,423.7,
1995-05,436.5,
1995-06,419.0,
1995-07,433.6,
1995-08,413.2,
1995-09,409.8,
1995-10,396.3,
1995-11,412.4,
1995-12,393.1,
1996-01,389.4,
1996-02,404.9,
1996-03,390.9,
1996-04,383.0,
1996-05,393.3,
1996-06,390.4,
1996-07,387.4,
1996-08,380.5,
1996-09,379.6,
1996-10,383.5,
1996-11,378.6,
1996-12,378.3,
1997-01,372.6,
1997-02,375.9,
1997-03,376.4,
1997-04,358.2,
1997-05,342.2,
1997-06,368.5,
1997-07,374.1,
1997-08,345.6,
1997-09,350.1,
1997-10,345.1,
1997-11,348.6,
1997-12,365.0,
1998-01,351.8,
1998-02,341.2,
1998-03,344.4,
1998-04,342.9,
1998-05,352.0,
1998-06,345.6,
1998-07,335.4,
