"",BBK01.OEXB18J,BBK01.OEXB18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:25,
2002-01,0.101,
2002-04,0.100,
2002-07,0.099,
2002-10,0.093,
2003-01,0.085,
2003-04,0.084,
2003-07,0.088,
2003-10,0.083,
2004-01,0.080,
2004-04,0.080,
2004-07,0.081,
2004-10,0.074,
2005-01,0.071,
2005-04,0.068,
2005-07,0.077,
2005-10,0.086,
2006-01,0.082,
2006-04,0.077,
2006-07,0.076,
2006-10,0.072,
2007-01,0.071,
2007-04,0.067,
2007-07,0.062,
2007-10,0.064,
2008-01,0.063,
2008-04,0.067,
2008-07,0.071,
2008-10,0.070,
2009-01,0.064,
2009-04,0.066,
2009-07,0.061,
2009-10,0.059,
2010-01,0.058,
2010-04,0.052,
2010-07,0.058,
2010-10,0.061,
2011-01,0.060,
2011-04,0.052,
2011-07,0.052,
2011-10,0.052,
2012-01,0.056,
2012-04,0.048,
2012-07,0.045,
2012-10,0.052,
2013-01,0.050,
2013-04,0.048,
2013-07,0.049,
2013-10,0.053,
2014-01,0.052,
2014-04,0.057,
2014-07,0.062,
