"",BBEX3.M.CAD.USD.CA.AC.A01,BBEX3.M.CAD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Canada / USD 1 = CAD... (middle),
unit,CAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:38,
1989-01,1.1832,
1989-02,1.1987,
1989-03,1.1932,
1989-04,1.1861,
1989-05,1.2057,
1989-06,1.1983,
1989-07,1.1805,
1989-08,1.1758,
1989-09,1.1783,
1989-10,1.1741,
1989-11,1.1632,
1989-12,1.1578,
1990-01,1.1856,
1990-02,1.1922,
1990-03,1.1702,
1990-04,1.1632,
1990-05,1.1741,
1990-06,1.1661,
1990-07,1.1528,
1990-08,1.1546,
1990-09,1.1565,
1990-10,1.1674,
1990-11,1.1655,
1990-12,1.1603,
1991-01,1.1627,
1991-02,1.1499,
1991-03,1.1587,
1991-04,1.1514,
1991-05,1.1452,
1991-06,1.1420,
1991-07,1.1517,
1991-08,1.1420,
1991-09,1.1316,
1991-10,1.1229,
1991-11,1.1346,
1991-12,1.1556,
1992-01,1.1748,
1992-02,1.1819,
1992-03,1.1899,
1992-04,1.1959,
1992-05,1.2047,
1992-06,1.1969,
1992-07,1.1842,
1992-08,1.1952,
1992-09,1.2480,
1992-10,1.2400,
1992-11,1.2858,
1992-12,1.2711,
1993-01,1.2701,
1993-02,1.2497,
1993-03,1.2572,
1993-04,1.2700,
1993-05,1.2715,
1993-06,1.2823,
1993-07,1.2841,
1993-08,1.3208,
1993-09,1.3358,
1993-10,1.3215,
1993-11,1.3367,
1993-12,1.3240,
1994-01,1.3273,
1994-02,1.3520,
1994-03,1.3792,
1994-04,1.3815,
1994-05,1.3847,
1994-06,1.3823,
1994-07,1.3832,
1994-08,1.3711,
1994-09,1.3408,
1994-10,1.3525,
1994-11,1.3752,
1994-12,1.4028,
1995-01,1.4086,
1995-02,1.3935,
1995-03,1.3990,
1995-04,1.3596,
1995-05,1.3696,
1995-06,1.3734,
1995-07,1.3697,
1995-08,1.3430,
1995-09,1.3438,
1995-10,1.3395,
1995-11,1.3584,
1995-12,1.3652,
1996-01,1.3743,
1996-02,1.3722,
1996-03,1.3632,
1996-04,1.3614,
1996-05,1.3703,
1996-06,1.3651,
1996-07,1.3748,
1996-08,1.3684,
1996-09,1.3622,
1996-10,1.3408,
1996-11,1.3488,
1996-12,1.3696,
1997-01,1.3473,
1997-02,1.3665,
1997-03,1.3843,
1997-04,1.3970,
1997-05,1.3809,
1997-06,1.3811,
1997-07,1.3814,
1997-08,1.3885,
1997-09,1.3820,
1997-10,1.4092,
1997-11,1.4242,
1997-12,1.4291,
1998-01,1.4563,
1998-02,1.4235,
1998-03,1.4166,
1998-04,1.4302,
1998-05,1.4571,
1998-06,1.4716,
1998-07,1.5111,
1998-08,1.5722,
1998-09,1.5259,
1998-10,1.5425,
1998-11,1.5237,
1998-12,1.5305,
1999-01,1.5074,
1999-02,1.5074,
1999-03,1.5092,
1999-04,1.4576,
1999-05,1.4770,
1999-06,1.4720,
1999-07,1.5063,
1999-08,1.4958,
1999-09,1.4700,
1999-10,1.4718,
1999-11,1.4728,
1999-12,1.4433,
2000-01,1.4512,
2000-02,1.4488,
2000-03,1.4535,
2000-04,1.4811,
2000-05,1.4978,
2000-06,1.4793,
2000-07,1.4872,
2000-08,1.4722,
2000-09,1.5070,
2000-10,1.5271,
2000-11,1.5356,
2000-12,1.5002,
2001-01,1.5000,
2001-02,1.5316,
2001-03,1.5774,
2001-04,1.5356,
2001-05,1.5457,
2001-06,1.5177,
2001-07,1.5303,
2001-08,1.5477,
2001-09,1.5790,
2001-10,1.5867,
2001-11,1.5718,
2001-12,1.5926,
2002-01,1.5923,
2002-02,1.6047,
2002-03,1.5935,
2002-04,1.5678,
2002-05,1.5275,
2002-06,1.5187,
2002-07,1.5843,
2002-08,1.5589,
2002-09,1.5858,
2002-10,1.5603,
2002-11,1.5654,
2002-12,1.5796,
2003-01,1.5290,
2003-02,1.4871,
2003-03,1.4693,
2003-04,1.4457,
2003-05,1.3708,
2003-06,1.3553,
2003-07,1.4073,
2003-08,1.3851,
2003-09,1.3504,
2003-10,1.3197,
2003-11,1.2973,
2003-12,1.2924,
2004-01,1.3264,
2004-02,1.3401,
2004-03,1.3105,
2004-04,1.3707,
2004-05,1.3634,
2004-06,1.3404,
2004-07,1.3292,
2004-08,1.3167,
2004-09,1.2639,
2004-10,1.2207,
2004-11,1.1904,
2004-12,1.2036,
2005-01,1.2380,
2005-02,1.2314,
2005-03,1.2096,
2005-04,1.2569,
2005-05,1.2510,
2005-06,1.2256,
2005-07,1.2259,
2005-08,1.1889,
2005-09,1.1611,
2005-10,1.1801,
2005-11,1.1674,
