"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Public issuers / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:12,
1991-01,1956.165,
1991-02,4015.185,
1991-03,-4420.984,
1991-04,-874.543,
1991-05,2722.724,
1991-06,226.721,
1991-07,1880.193,
1991-08,2829.202,
1991-09,2243.841,
1991-10,5043.274,
1991-11,4506.005,
1991-12,2364.509,
1992-01,6114.374,
1992-02,-617.092,
1992-03,-2317.707,
1992-04,-1049.878,
1992-05,1303.472,
1992-06,183.217,
1992-07,5486.661,
1992-08,4217.204,
1992-09,12872.731,
1992-10,6037.219,
1992-11,626.937,
1992-12,6259.450,
1993-01,12015.923,
1993-02,6756.451,
1993-03,5186.360,
1993-04,7131.100,
1993-05,6211.674,
1993-06,7475.679,
1993-07,6547.094,
1993-08,-2589.348,
1993-09,6127.136,
1993-10,6508.015,
1993-11,4237.131,
1993-12,13052.659,
1994-01,9449.301,
1994-02,-4289.388,
1994-03,-6786.219,
1994-04,-2691.945,
1994-05,-966.592,
1994-06,-5339.973,
1994-07,-761.427,
1994-08,-63.761,
1994-09,3150.993,
1994-10,2886.680,
1994-11,8198.416,
1994-12,-680.025,
1995-01,1004.352,
1995-02,-2648.603,
1995-03,6792.336,
1995-04,2600.467,
1995-05,4273.752,
1995-06,4072.012,
1995-07,-1351.002,
1995-08,5685.770,
1995-09,-861.502,
1995-10,-594.594,
1995-11,6789.606,
1995-12,-418.024,
1996-01,5539.232,
1996-02,-2384.985,
1996-03,-2101.881,
1996-04,671.194,
1996-05,3280.340,
1996-06,1950.008,
1996-07,1450.694,
1996-08,5696.495,
1996-09,795.643,
1996-10,-2541.781,
1996-11,7879.836,
1996-12,2353.265,
1997-01,12270.403,
1997-02,2718.728,
1997-03,-4437.159,
1997-04,2097.725,
1997-05,-104.702,
1997-06,6607.238,
1997-07,5049.362,
1997-08,-1767.788,
1997-09,5554.581,
1997-10,-2214.812,
1997-11,6522.623,
1997-12,7656.647,
1998-01,8002.756,
1998-02,666.549,
1998-03,-5209.641,
1998-04,1360.571,
1998-05,-1790.803,
1998-06,537.799,
1998-07,11615.801,
1998-08,11105.439,
1998-09,923.258,
1998-10,-2809.303,
1998-11,9100.831,
1998-12,5951.177,
1999-01,6497.074,
1999-02,-4609.511,
1999-03,5244.038,
1999-04,9676.553,
1999-05,-6207.627,
1999-06,1653.969,
1999-07,8885.003,
1999-08,9187.041,
1999-09,-5678.912,
1999-10,806.516,
1999-11,3659.236,
1999-12,3328.209,
2000-01,-1913.300,
2000-02,-878.961,
2000-03,2852.154,
2000-04,1768.485,
2000-05,5121.515,
2000-06,6562.601,
2000-07,5432.631,
2000-08,-486.350,
2000-09,4649.845,
2000-10,4933.223,
2000-11,-2594.317,
2000-12,-3005.284,
2001-01,-8247.737,
2001-02,4916.207,
2001-03,-3191.921,
2001-04,189.351,
2001-05,-1641.176,
2001-06,3436.277,
2001-07,-104.999,
2001-08,5137.742,
2001-09,8362.156,
2001-10,11704.403,
2001-11,-278.885,
2001-12,-12536.250,
2002-01,8878.928,
2002-02,162.735,
2002-03,8428.771,
2002-04,6230.076,
2002-05,-1138.394,
2002-06,12939.046,
2002-07,7398.680,
2002-08,-3243.027,
2002-09,-202.809,
2002-10,2795.388,
2002-11,7143.252,
2002-12,-4830.818,
2003-01,5859.552,
2003-02,278.710,
2003-03,7754.110,
2003-04,718.945,
2003-05,3188.697,
2003-06,8548.950,
2003-07,-4548.885,
2003-08,1189.149,
2003-09,-5870.050,
2003-10,13566.195,
2003-11,-7870.957,
2003-12,-4342.149,
2004-01,21531.540,
2004-02,-1592.238,
2004-03,1713.134,
2004-04,7107.390,
2004-05,171.273,
2004-06,-10137.651,
2004-07,14217.046,
2004-08,10842.254,
2004-09,-6843.560,
2004-10,11037.249,
2004-11,476.954,
2004-12,-2002.401,
2005-01,13668.739,
2005-02,4504.788,
2005-03,-5547.161,
2005-04,11804.364,
2005-05,-2315.886,
2005-06,19757.824,
2005-07,11992.032,
2005-08,-5880.373,
2005-09,11113.197,
2005-10,795.286,
2005-11,8352.099,
2005-12,3739.831,
2006-01,12670.759,
2006-02,-6561.669,
2006-03,14659.897,
2006-04,2873.458,
2006-05,-5348.313,
2006-06,3549.146,
2006-07,12494.023,
2006-08,-6980.744,
2006-09,4208.220,
2006-10,8330.875,
2006-11,9358.818,
2006-12,3430.475,
2007-01,1775.984,
2007-02,-9140.351,
2007-03,2146.886,
2007-04,10287.877,
2007-05,9457.418,
2007-06,10234.887,
2007-07,2429.547,
2007-08,-2062.833,
2007-09,2622.219,
2007-10,19771.859,
2007-11,16477.857,
2007-12,-3367.365,
2008-01,11747.014,
2008-02,-12663.437,
2008-03,4448.379,
2008-04,-11121.169,
2008-05,12302.630,
2008-06,21802.907,
2008-07,-1237.179,
2008-08,11298.357,
2008-09,5780.497,
2008-10,-16592.026,
2008-11,8741.772,
2008-12,-1084.557,
2009-01,2841.878,
2009-02,4771.049,
2009-03,3271.451,
2009-04,-6372.081,
2009-05,19928.310,
2009-06,9466.315,
2009-07,-21813.249,
2009-08,6271.461,
2009-09,6415.027,
2009-10,-4723.102,
2009-11,10667.323,
2009-12,-3533.139,
2010-01,4891.931,
2010-02,15481.981,
2010-03,-3699.726,
2010-04,8093.872,
2010-05,18847.866,
2010-06,-4549.119,
2010-07,3537.893,
2010-08,10958.490,
2010-09,8781.732,
2010-10,7396.707,
2010-11,13667.486,
2010-12,-6062.863,
2011-01,2974.252,
2011-02,14706.934,
2011-03,5726.973,
2011-04,8273.141,
2011-05,19427.849,
2011-06,2737.932,
2011-07,-9292.655,
2011-08,20215.666,
2011-09,-1547.436,
2011-10,-4895.483,
2011-11,15438.866,
2011-12,-5194.837,
2012-01,5727.422,
2012-02,23705.474,
2012-03,-18.857,
2012-04,5812.766,
2012-05,22545.986,
2012-06,-5268.201,
2012-07,-1088.622,
2012-08,14467.518,
2012-09,-1084.151,
2012-10,1853.644,
2012-11,17718.055,
2012-12,-5792.848,
2013-01,2082.224,
2013-02,10479.576,
2013-03,-7772.444,
2013-04,-6905.932,
2013-05,16446.519,
2013-06,-5783.831,
2013-07,-10003.039,
2013-08,12417.351,
2013-09,1882.793,
2013-10,2230.393,
2013-11,21281.192,
2013-12,-7149.175,
2014-01,1090.413,
2014-02,16258.011,Provisional value
2014-03,2374.516,Provisional value
2014-04,-5445.883,Provisional value
2014-05,15152.782,Provisional value
2014-06,38.352,Provisional value
2014-07,-14301.943,Provisional value
2014-08,9652.144,Provisional value
2014-09,-1766.286,
2014-10,2254.122,
2014-11,13540.793,
2014-12,-8071.222,Provisional value
