"",BBK01.OEAD30N,BBK01.OEAD30N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:34,
2002-01,0.324,
2002-04,0.326,
2002-07,0.317,
2002-10,0.367,
2003-01,0.350,
2003-04,0.349,
2003-07,0.345,
2003-10,0.395,
2004-01,0.381,
2004-04,0.399,
2004-07,0.405,
2004-10,0.421,
2005-01,0.392,
2005-04,0.390,
2005-07,0.413,
2005-10,0.388,
2006-01,0.392,
2006-04,0.357,
2006-07,0.373,
2006-10,0.345,
2007-01,0.353,
2007-04,0.340,
2007-07,0.345,
2007-10,0.359,
2008-01,0.352,
2008-04,0.347,
2008-07,0.385,
2008-10,0.407,
2009-01,0.451,
2009-04,0.476,
2009-07,0.421,
2009-10,0.447,
2010-01,0.472,
2010-04,0.482,
2010-07,0.496,
2010-10,0.507,
2011-01,0.498,
2011-04,0.487,
2011-07,0.523,
2011-10,0.538,
2012-01,0.553,
2012-04,0.580,
2012-07,0.557,
2012-10,0.552,
2013-01,0.559,
2013-04,0.512,
2013-07,0.527,
2013-10,0.489,
2014-01,0.472,
2014-04,0.473,
2014-07,0.449,
