"",BBK01.OEAB20R,BBK01.OEAB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:22,
2002-01,5.840,
2002-04,5.901,
2002-07,5.963,
2002-10,6.083,
2003-01,6.043,
2003-04,6.091,
2003-07,6.136,
2003-10,6.153,
2004-01,6.105,
2004-04,6.116,
2004-07,6.116,
2004-10,6.111,
2005-01,6.807,
2005-04,6.837,
2005-07,6.853,
2005-10,6.837,
2006-01,6.800,
2006-04,6.920,
2006-07,7.000,
2006-10,6.975,
2007-01,6.986,
2007-04,7.058,
2007-07,7.091,
2007-10,7.119,
2008-01,7.018,
2008-04,6.949,
2008-07,7.019,
2008-10,7.010,
2009-01,6.931,
2009-04,7.278,
2009-07,7.296,
2009-10,7.341,
2010-01,7.336,
2010-04,7.351,
2010-07,7.395,
2010-10,7.446,
2011-01,7.438,
2011-04,7.446,
2011-07,7.493,
2011-10,7.562,
2012-01,7.578,
2012-04,7.715,
2012-07,7.796,
2012-10,7.829,
2013-01,7.832,
2013-04,7.916,
2013-07,7.995,
2013-10,8.044,
2014-01,8.072,
2014-04,8.133,
2014-07,8.220,
