"",BBK01.OEAA11N,BBK01.OEAA11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:04,
2002-01,74.451,
2002-04,74.494,
2002-07,73.103,
2002-10,73.951,
2003-01,74.045,
2003-04,73.252,
2003-07,71.252,
2003-10,70.293,
2004-01,72.257,
2004-04,66.970,
2004-07,65.661,
2004-10,63.314,
2005-01,68.487,
2005-04,64.148,
2005-07,61.661,
2005-10,61.503,
2006-01,61.778,
2006-04,60.642,
2006-07,61.662,
2006-10,59.368,
2007-01,63.087,
2007-04,61.816,
2007-07,60.959,
2007-10,63.437,
2008-01,65.218,
2008-04,66.417,
2008-07,69.844,
2008-10,72.662,
2009-01,68.972,
2009-04,71.062,
2009-07,75.127,
2009-10,63.786,
2010-01,64.736,
2010-04,88.158,
2010-07,74.659,
2010-10,72.870,
2011-01,73.415,
2011-04,75.068,
2011-07,88.586,
2011-10,84.221,
2012-01,79.974,
2012-04,87.216,
2012-07,84.003,
2012-10,69.923,
2013-01,76.203,
2013-04,74.075,
2013-07,54.443,
2013-10,52.205,
2014-01,55.505,
2014-04,55.275,
2014-07,54.125,
