"",BBK01.OEBB06S,BBK01.OEBB06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:40,
2002-01,0.973,
2002-04,0.963,
2002-07,1.000,
2002-10,0.892,
2003-01,0.811,
2003-04,0.868,
2003-07,0.864,
2003-10,0.787,
2004-01,0.790,
2004-04,0.775,
2004-07,0.754,
2004-10,0.725,
2005-01,0.784,
2005-04,0.751,
2005-07,0.762,
2005-10,0.691,
2006-01,0.707,
2006-04,0.707,
2006-07,0.715,
2006-10,0.616,
2007-01,0.640,
2007-04,0.625,
2007-07,0.613,
2007-10,0.659,
2008-01,0.684,
2008-04,0.666,
2008-07,0.668,
2008-10,0.655,
2009-01,0.641,
2009-04,0.649,
2009-07,0.656,
2009-10,0.598,
2010-01,0.599,
2010-04,0.615,
2010-07,0.574,
2010-10,0.569,
2011-01,0.527,
2011-04,0.582,
2011-07,0.557,
2011-10,0.581,
2012-01,0.560,
2012-04,0.551,
2012-07,0.543,
2012-10,0.561,
2013-01,0.523,
2013-04,0.564,
2013-07,0.604,
2013-10,0.569,
2014-01,0.603,
2014-04,0.671,
2014-07,0.666,
