"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:21,
1991-01,48.104,
1991-04,82.381,
1991-07,83.728,
1991-10,55.963,
1992-01,-85.531,
1992-04,-83.520,
1992-07,-97.004,
1992-10,-121.798,
1993-01,-129.075,
1993-04,-126.667,
1993-07,-165.226,
1993-10,-352.088,
1994-01,-18.862,
1994-04,-9.281,
1994-07,-99.374,
1994-10,-62.708,
1995-01,-136.554,
1995-04,-129.628,
1995-07,-130.143,
1995-10,-190.833,
1996-01,-77.712,
1996-04,-94.095,
1996-07,-79.215,
1996-10,-207.194,
1997-01,-3.860,
1997-04,-3.379,
1997-07,-16.540,
1997-10,-299.987,
1998-01,-2.200,
1998-04,-14.366,
1998-07,-2.382,
1998-10,-22.041,
1999-01,-7.155,
1999-04,-5.890,
1999-07,-25.033,
1999-10,-9.977,
2000-01,95.479,
2000-04,89.630,
2000-07,89.165,
2000-10,80.630,
2001-01,263.913,
2001-04,-8.976,
2001-07,126.412,
2001-10,0.590,
2002-01,162.039,
2002-04,134.715,
2002-07,137.754,
2002-10,-1190.015,
2003-01,195.040,
2003-04,-399.827,
2003-07,61.858,
2003-10,-313.884,
2004-01,333.097,
2004-04,217.787,
2004-07,255.860,
2004-10,627.913,
2005-01,560.140,
2005-04,202.286,
2005-07,-885.194,
2005-10,309.043,
2006-01,281.055,
2006-04,296.977,
2006-07,488.818,
2006-10,-172.495,
2007-01,313.843,
2007-04,-775.751,
2007-07,337.297,
2007-10,-240.972,
2008-01,-1062.252,
2008-04,-1135.225,
2008-07,186.897,
2008-10,-854.494,
2009-01,-243.345,
2009-04,-547.788,
2009-07,205.807,
2009-10,110.008,
2010-01,37.382,
2010-04,-1002.907,
2010-07,291.082,
2010-10,242.352,
2011-01,816.406,
2011-04,406.765,
2011-07,537.421,
2011-10,88.675,
2012-01,-541.499,
2012-04,972.639,
2012-07,1094.119,
2012-10,1166.622,
2013-01,719.144,
2013-04,411.053,
2013-07,-282.287,
2013-10,-281.193,
2014-01,782.428,Provisional value
2014-04,688.921,Provisional value
2014-07,822.309,Provisional value
2014-10,646.061,Provisional value
