"",BBK01.OEHL02L,BBK01.OEHL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:35,
2002-01,12.369,
2002-04,12.689,
2002-07,12.685,
2002-10,13.521,
2003-01,14.157,
2003-04,14.437,
2003-07,14.482,
2003-10,14.724,
2004-01,15.181,
2004-04,15.596,
2004-07,15.333,
2004-10,15.259,
2005-01,15.026,
2005-04,15.380,
2005-07,15.241,
2005-10,15.510,
2006-01,16.229,
2006-04,16.377,
2006-07,16.300,
2006-10,16.239,
2007-01,16.073,
2007-04,16.676,
2007-07,17.182,
2007-10,17.091,
2008-01,16.869,
2008-04,16.726,
2008-07,16.616,
2008-10,17.339,
2009-01,18.532,
2009-04,20.573,
2009-07,20.906,
2009-10,22.468,
2010-01,23.200,
2010-04,23.642,
2010-07,23.560,
2010-10,24.085,
2011-01,23.954,
2011-04,23.768,
2011-07,23.545,
2011-10,24.277,
2012-01,24.236,
2012-04,25.077,
2012-07,25.487,
2012-10,26.687,
2013-01,27.259,
2013-04,27.677,
2013-07,28.069,
2013-10,28.550,
2014-01,28.937,
2014-04,29.599,
2014-07,29.971,
