"",BBK01.OEAH35I,BBK01.OEAH35I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:32,
2002-01,16.546,
2002-04,16.526,
2002-07,16.426,
2002-10,15.974,
2003-01,15.862,
2003-04,15.689,
2003-07,15.343,
2003-10,18.767,
2004-01,19.456,
2004-04,20.135,
2004-07,20.960,
2004-10,22.497,
2005-01,24.081,
2005-04,24.763,
2005-07,25.437,
2005-10,25.773,
2006-01,26.978,
2006-04,28.472,
2006-07,29.232,
2006-10,29.346,
2007-01,30.016,
2007-04,31.031,
2007-07,31.608,
2007-10,31.481,
2008-01,31.386,
2008-04,32.101,
2008-07,32.686,
2008-10,32.584,
2009-01,32.519,
2009-04,32.932,
2009-07,33.024,
2009-10,32.690,
2010-01,32.298,
2010-04,32.077,
2010-07,32.615,
2010-10,35.557,
2011-01,36.053,
2011-04,36.751,
2011-07,36.652,
2011-10,36.462,
2012-01,35.758,
2012-04,35.880,
2012-07,35.662,
2012-10,35.169,
2013-01,34.963,
2013-04,34.836,
2013-07,33.744,
2013-10,33.572,
2014-01,34.751,
2014-04,34.260,
2014-07,33.765,
