"",BBK01.OEAJ08H,BBK01.OEAJ08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:43,
2002-01,0.584,
2002-04,0.576,
2002-07,0.585,
2002-10,0.572,
2003-01,0.615,
2003-04,0.644,
2003-07,0.756,
2003-10,0.811,
2004-01,0.915,
2004-04,0.929,
2004-07,0.998,
2004-10,0.971,
2005-01,0.993,
2005-04,1.078,
2005-07,1.102,
2005-10,0.957,
2006-01,1.022,
2006-04,0.953,
2006-07,0.912,
2006-10,0.908,
2007-01,1.010,
2007-04,0.937,
2007-07,0.807,
2007-10,0.780,
2008-01,0.763,
2008-04,0.749,
2008-07,0.759,
2008-10,0.786,
2009-01,0.832,
2009-04,0.812,
2009-07,0.873,
2009-10,0.922,
2010-01,1.015,
2010-04,1.121,
2010-07,1.167,
2010-10,1.115,
2011-01,1.158,
2011-04,1.138,
2011-07,1.141,
2011-10,1.111,
2012-01,1.171,
2012-04,1.208,
2012-07,1.253,
2012-10,1.294,
2013-01,1.336,
2013-04,1.367,
2013-07,1.391,
2013-10,1.411,
2014-01,1.421,
2014-04,1.445,
2014-07,1.464,
