"",BBK01.OEHB15G,BBK01.OEHB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:08,
2002-01,1.192,
2002-04,1.174,
2002-07,1.130,
2002-10,1.126,
2003-01,1.053,
2003-04,0.992,
2003-07,0.982,
2003-10,0.963,
2004-01,0.935,
2004-04,0.924,
2004-07,0.874,
2004-10,0.883,
2005-01,0.902,
2005-04,1.003,
2005-07,0.993,
2005-10,1.006,
2006-01,0.985,
2006-04,0.999,
2006-07,0.985,
2006-10,0.974,
2007-01,0.968,
2007-04,0.966,
2007-07,0.974,
2007-10,0.979,
2008-01,0.972,
2008-04,0.972,
2008-07,0.967,
2008-10,0.956,
2009-01,0.821,
2009-04,0.871,
2009-07,0.880,
2009-10,0.912,
2010-01,0.899,
2010-04,0.906,
2010-07,0.936,
2010-10,0.951,
2011-01,0.948,
2011-04,0.960,
2011-07,0.968,
2011-10,0.972,
2012-01,0.968,
2012-04,0.979,
2012-07,1.002,
2012-10,1.008,
2013-01,1.013,
2013-04,1.004,
2013-07,0.995,
2013-10,0.962,
2014-01,0.953,
2014-04,0.947,
2014-07,0.942,
