"",BBSF2.M.1.S.I0002.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:46,
2009-09,3941,
2009-10,3355,
2009-11,2874,
2009-12,6827,
2010-01,803,
2010-02,1509,
2010-03,1908,
2010-04,2055,
2010-05,2305,
2010-06,1485,
2010-07,2323,
2010-08,2225,
2010-09,2525,
2010-10,1546,
2010-11,2365,
2010-12,4102,
2011-01,1209,
2011-02,6369,
2011-03,1609,
2011-04,1559,
2011-05,1647,
2011-06,1128,
2011-07,1384,
2011-08,1078,
2011-09,3058,
2011-10,4318,
2011-11,3083,
2011-12,4431,
2012-01,4661,
2012-02,1784,
2012-03,2209,
2012-04,2788,
2012-05,1728,
2012-06,6033,
2012-07,5136,
2012-08,2523,
2012-09,2049,
2012-10,2630,
2012-11,3639,
2012-12,8876,
2013-01,2816,
2013-02,2421,
2013-03,2361,
2013-04,3493,
2013-05,2458,
2013-06,3047,
2013-07,6057,
2013-08,2549,
2013-09,1804,
2013-10,3526,
2013-11,3136,
2013-12,6504,
2014-01,3783,
2014-02,1836,
2014-03,8586,
2014-04,2685,
2014-05,2359,
2014-06,4149,
2014-07,3535,
2014-08,3051,
2014-09,1927,
2014-10,10658,
2014-11,3313,
